spname	order	family	genus	species	subspecies
BLACKCRAPPIE	Perciformes	Centrarchidae	Pomoxis	nigromaculatus	
BLACKNOSESHINER	Cypriniformes	Cyprinidae	Notropis	heterolepis	
BLUEGILL	Perciformes	Centrarchidae	Lepomis	macrochirus	
BLUNTNOSEMINNOW	Cypriniformes	Cyprinidae	Pimephales	notatus	
BROOKSTICKLEBACK	Gasterosteiformes	Gasterosteidae	Culaea	inconstans	
COMMONSHINER	Cypriniformes	Cyprinidae	Luxilus	cornutus	
GOLDENSHINER	Cypriniformes	Cyprinidae	Notemigonus	crysoleucas	
IOWADARTER	Perciformes	Percidae	Etheostoma	exile	
JOHNNYDARTER	Perciformes	Percidae	Etheostoma	nigrum	
LARGEMOUTHBASS	Perciformes	Centrarchidae	Micropterus	salmoides	
LOGPERCH	Perciformes	Percidae	Percina	caprodes	
MIMICSHINER	Cypriniformes	Cyprinidae	Notropis	volucellus	
MOTTLEDSCULPIN	Scorpaeniformes	Cottidae	Cottus	bairdii	
MUDMINNOW	Esociformes	Umbridae	Umbra	limi	
MUSKELLUNGE	Esociformes	Esocidae	Esox	masquinongy	
NORTHERNPIKE	Esociformes	Esocidae	Esox	lucius	
PUMPKINSEED	Perciformes	Centrarchidae	Lepomis	gibbosus	
ROCKBASS	Perciformes	Centrarchidae	Ambloplites	rupestris	
SMALLMOUTHBASS	Perciformes	Centrarchidae	Micropterus	dolomieu	
WALLEYE	Perciformes	Percidae	Sander	vitreus	
WHITESUCKER	Cypriniformes	Catostomidae	Catostomus	commersonii	
YELLOWPERCH	Perciformes	Percidae	Perca	flavescens	
BLACKCHINSHINER	Cypriniformes	Cyprinidae	Notropis	heterodon	
LARVALSUNFISH	Perciformes	Centrarchidae			
YELLOWBULLHEAD	Siluriformes	Ictaluridae	Ameiurus	natalis	
SUNFISH	Perciformes	Centrarchidae			
BLACKBULLHEAD	Siluriformes	Ictaluridae	Ameiurus	melas	
HORNYHEADCHUB	Cypriniformes	Cyprinidae	Nocomis	biguttatus	
UNIDREDHORSE	Cypriniformes	Catostomidae	Moxostoma		
BROWNBULLHEAD	Siluriformes	Ictaluridae	Ameiurus	nebulosus	
SHORTHEADREDHORS	Cypriniformes	Catostomidae	Moxostoma	macrolepidotum	
FINESCALEDACE	Cypriniformes	Cyprinidae	Phoxinus	neogaeus	
BGPUMPHYBRID	Perciformes	Centrarchidae	Lepomis		
MUSKYPIKEHYBRID	Esociformes	Esocidae	Esox		
ROSYFACESHINER	Cypriniformes	Cyprinidae	Notropis	rubellus	
CREEKCHUB	Cypriniformes	Cyprinidae	Semotilus	atromaculatus	
BURBOT	Gadiformes	Lotidae	Lota	lota	
FANTAILDARTER	Perciformes	Percidae	Etheostoma	flabellare	
GRASSPICKEREL	Esociformes	Esocidae	Esox	americanus	vermiculatus
SPOTTAILSHINER	Cypriniformes	Cyprinidae	Notropis	hudsonius	
SLIMYSCULPIN	Scorpaeniformes	Cottidae	Cottus	cognatus	
FATHEAD	Cypriniformes	Cyprinidae	Pimephales	promelas	
GOLDENREDHORSE	Cypriniformes	Catostomidae	Moxostoma	erythrurum	
GREATERREDHORSE	Cypriniformes	Catostomidae	Moxostoma	valenciennesi	
CISCO	Salmoniformes	Salmonidae	Coregonus	artedi	
GREENSUNFISH	Perciformes	Centrarchidae	Lepomis	cyanellus	
LAKETROUT	Salmoniformes	Salmonidae	Salvelinus	namaycush	
NREDBELLYDACE	Cypriniformes	Cyprinidae	Chrosomus	eos	
