taxon	phylum	subphylum	class	subclass	order	family	genus	species
ACANTHOCYCLOPS VERNALIS	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae	Acanthocyclops	vernalis
ALONA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Alona	
ANURAEOPSIS FISSA	Rotifera		Monogononta		Ploima	Brachionidae	Anuraeopsis	fissa
ASCOMORPHA	Rotifera		Monogononta		Ploima	Gastropidae	Ascomorpha	
ASCOMORPHA ECAUDIS	Rotifera		Monogononta		Ploima	Gastropidae	Ascomorpha	ecaudis
ASCOMORPHA OVALIS	Rotifera		Monogononta		Ploima	Gastropidae	Ascomorpha	ovalis
ASCOMORPHA SALTANS	Rotifera		Monogononta		Ploima	Gastropidae	Ascomorpha	saltans
ASPLANCHNA	Rotifera		Monogononta		Ploimida	Asplanchnidae	Asplanchna	
BOSMINIDAE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Bosminidae		
BRACHIONUS	Rotifera		Monogononta		Ploima	Brachionidae		
CALANOID	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida			
CERIODAPHNIA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Ceriodaphnia	
CERIODAPHNIA LACUSTRIS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Ceriodaphnia	Lacustris
CHYDORUS	Arthropoda	Crustacea	Branchiopoda		Cladocera	Chydoridae	Chydorus	
COLLOTHECA	Rotifera		Monogononta		Collothecaceae	Collothecidae	Collotheca	
COLLOTHECA MUTABILIS	Rotifera		Monogononta		Collothecaceae	Collothecidae	Collotheca	mutabilis
CONOCHILOIDES	Rotifera		Monogononta		Flosculariaceae	Conochilidae	Conochiloides	
CONOCHILUS	Rotifera		Monogononta		Flosculariaceae	Conochilidae	Conochilus	
COPEPOD NAUPLII	Arthropoda	Crustacea	Maxillopoda	Copepoda				
CYCLOPOID	Arthropoda	Crustacea	Maxillopoda	Copepoda	Cyclopoida	Cyclopidae		
DAPHNIA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	
DAPHNIA AMBIGUA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	ambigua
DAPHNIA DENTIFERA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	dentifera
DAPHNIA DUBIA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	dubia
DAPHNIA MENDOTAE	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	mendotae
DAPHNIA PARVULA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	parvula
DAPHNIA PULICARIA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	pulicaria
DAPHNIA RETROCURVA	Arthropoda	Crustacea	Branchiopoda		Cladocera	Daphniidae	Daphnia	retrocurva
