lakeid,year4,site,rep,taxon_code,description,number_indiv,flag
CR,1982,6,1,POLYD,Polycentropodidae,3,
CR,1982,6,1,DYTIS,Dytiscidae,,N
CR,1982,6,1,CHIRO,Chironomidae,13,
CR,1982,6,1,HIRUD,Hirudinea,2,
CR,1982,6,2,CLADO,Cladocera,,A
CR,1982,6,2,CHIRO,Chironomidae,22,
CR,1982,6,2,OLIGO,Oligochaeta ,,N
CR,1982,6,3,POLYD,Polycentropodidae,2,
CR,1982,6,3,LEPTO,Leptoceridae,1,
CR,1982,6,3,PLANA,Planaria,,N
CR,1982,6,3,HYDRA,Hydra,,N
CR,1982,6,3,CHIRO,Chironomidae,22,
CR,1982,6,3,OLIGO,Oligochaeta ,,N
CR,1982,6,3,HIRUD,Hirudinea,,N
CR,1982,9,1,POLYC,Polycentropus,3,
CR,1982,9,1,MYSTA,Mystacides,1,
CR,1982,9,1,AGARO,Agarodes,1,
CR,1982,9,1,OLIGO,Oligochaeta ,13,
CR,1982,9,1,HYDRA,Hydra,1,
CR,1982,9,1,CHIRO,Chironomidae,24,
CR,1982,9,2,CHIRO,Chironomidae,8,
CR,1982,9,3,AGARO,Agarodes,2,
CR,1982,9,3,POLYC,Polycentropus,11,
CR,1982,9,3,OECET,Oecetis,1,
CR,1982,9,3,CHIRO,Chironomidae,13,
CR,1982,9,3,OLIGO,Oligochaeta ,,N
CR,1982,27,1,PTILO,Ptilostomis,1,
CR,1982,27,1,POLYC,Polycentropus,1,
CR,1982,27,1,OLIGO,Oligochaeta ,,N
CR,1982,27,1,CLADO,Cladocera,,A
CR,1982,27,1,CHIRO,Chironomidae,6,
CR,1982,27,2,POLYD,Polycentropodidae,1,
CR,1982,27,2,PLANA,Planaria,1,
CR,1982,27,2,CHIRO,Chironomidae,42,
CR,1982,27,2,OLIGO,Oligochaeta ,,N
CR,1982,27,3,POLYC,Polycentropus,1,
CR,1982,27,3,AGARO,Agarodes,1,
CR,1982,27,3,PLANA,Planaria,2,
CR,1982,27,3,PROBE,Probezzia,1,
CR,1982,27,3,CHIRO,Chironomidae,10,
CR,1982,27,3,HIRUD,Hirudinea,1,
CR,1982,27,3,OLIGO,Oligochaeta ,,N
CR,1982,43,1,COENA,Coenagrionidae,1,
CR,1982,43,1,LEPTO,Leptoceridae,1,
CR,1982,43,1,LEPID,Lepidostoma,1,
CR,1982,43,1,AGARO,Agarodes,2,
CR,1982,43,1,PLANA,Planaria,2,
CR,1982,43,1,CHIRO,Chironomidae,13,
CR,1982,43,2,PTILO,Ptilostomis,1,
CR,1982,43,2,CHIRO,Chironomidae,6,
CR,1982,43,2,OLIGO,Oligochaeta ,,N
CR,1982,43,2,HIRUD,Hirudinea,1,
CR,1982,43,3,POLYD,Polycentropodidae,1,
CR,1982,43,3,AGARO,Agarodes,1,
CR,1982,43,3,LEPID,Lepidostoma,2,
CR,1982,43,3,CHIRO,Chironomidae,10,
CR,1982,43,3,OLIGO,Oligochaeta ,,N
CR,1982,43,3,POLYD,Polycentropodidae,1,
CR,1982,GN,1,AGARO,Agarodes,1,
CR,1982,GN,1,OSTRA,Ostracoda,,N
CR,1982,GN,1,CHIRO,Chironomidae,13,
CR,1982,GN,1,OLIGO,Oligochaeta ,,N
CR,1982,GN,2,CHIRO,Chironomidae,3,
CR,1982,GN,2,OLIGO,Oligochaeta ,,N
CR,1982,GN,3,OSTRA,Ostracoda,,N
CR,1982,GN,3,CHIRO,Chironomidae,16,
CR,1982,GN,3,OLIGO,Oligochaeta ,,N
CR,1985,6,1,LIBEL,Libellulidae,3,
CR,1985,6,1,POLYD,Polycentropodidae,9,
CR,1985,6,1,MYSTA,Mystacides,1,
CR,1985,6,1,PLANA,Planaria,1,
CR,1985,6,1,PROBE,Probezzia,2,
CR,1985,6,1,CHIRO,Chironomidae,90,
CR,1985,6,1,OLIGO,Oligochaeta ,,N
CR,1985,6,2,BASIA,Basiaeschna,1,
CR,1985,6,2,MYSTA,Mystacides,3,
CR,1985,6,2,PLANA,Planaria,1,
CR,1985,6,2,PROBE,Probezzia,1,
CR,1985,6,2,CHIRO,Chironomidae,59,
CR,1985,6,2,OLIGO,Oligochaeta ,,N
CR,1985,6,3,LIBEL,Libellulidae,,N
CR,1985,6,3,PTILO,Ptilostomis,1,
CR,1985,6,3,MYSTA,Mystacides,1,
CR,1985,6,3,PLANA,Planaria,3,
CR,1985,6,3,PROBE,Probezzia,1,
CR,1985,6,3,CHIRO,Chironomidae,118,
CR,1985,6,3,OLIGO,Oligochaeta ,,N
CR,1985,9,1,MYSTA,Mystacides,3,
CR,1985,9,1,AGARO,Agarodes,4,
CR,1985,9,1,PLANA,Planaria,22,
CR,1985,9,1,CHIRO,Chironomidae,29,
CR,1985,9,1,OLIGO,Oligochaeta ,,N
CR,1985,9,2,BASIA,Basiaeschna,1,
CR,1985,9,2,MYSTA,Mystacides,5,
CR,1985,9,2,AGARO,Agarodes,13,
CR,1985,9,2,LEPTO,Leptoceridae,1,
CR,1985,9,2,PLANA,Planaria,1,
CR,1985,9,2,CHIRO,Chironomidae,25,
CR,1985,9,2,OLIGO,Oligochaeta ,,N
CR,1985,9,3,BASIA,Basiaeschna,,N
CR,1985,9,3,LEPID,Lepidostoma,1,
CR,1985,9,3,MYSTA,Mystacides,11,
CR,1985,9,3,PLANA,Planaria,6,
CR,1985,9,3,CHIRO,Chironomidae,30,
CR,1985,9,3,OLIGO,Oligochaeta ,,N
CR,1985,27,1,MYSTA,Mystacides,3,
CR,1985,27,1,CHIRO,Chironomidae,80,
CR,1985,27,1,OLIGO,Oligochaeta ,,N
CR,1985,27,2,BASIA,Basiaeschna,1,
CR,1985,27,2,LIBEL,Libellulidae,1,
CR,1985,27,2,MYSTA,Mystacides,2,
CR,1985,27,2,POLYD,Polycentropodidae,4,
CR,1985,27,2,TRIAE,Triaenodes,1,
CR,1985,27,2,PLANA,Planaria,2,
CR,1985,27,2,SIALI,Sialis,1,
CR,1985,27,2,CHIRO,Chironomidae,141,
CR,1985,27,2,OLIGO,Oligochaeta ,,N
CR,1985,27,3,MYSTA,Mystacides,6,
CR,1985,27,3,TRIAE,Triaenodes,1,
CR,1985,27,3,OECET,Oecetis,1,
CR,1985,27,3,PLANA,Planaria,3,
CR,1985,27,3,CHIRO,Chironomidae,56,
CR,1985,27,3,OLIGO,Oligochaeta ,,N
CR,1985,43,1,MYSTA,Mystacides,3,
CR,1985,43,1,LIBEL,Libellulidae,3,
CR,1985,43,1,NEMAT,Nematoda,1,
CR,1985,43,1,PLANA,Planaria,1,
CR,1985,43,1,PROBE,Probezzia,3,
CR,1985,43,1,CHIRO,Chironomidae,60,
CR,1985,43,1,OLIGO,Oligochaeta ,,N
CR,1985,43,2,NEMAT,Nematoda,4,
CR,1985,43,2,PLANA,Planaria,1,
CR,1985,43,2,CHIRO,Chironomidae,121,
CR,1985,43,2,PROBE,Probezzia,4,
CR,1985,43,2,OLIGO,Oligochaeta ,,N
CR,1985,43,3,LIBEL,Libellulidae,4,
CR,1985,43,3,AGARO,Agarodes,1,
CR,1985,43,3,MYSTA,Mystacides,2,
CR,1985,43,3,LEPDA,Lepidostomatidae,1,
CR,1985,43,3,POLYD,Polycentropodidae,1,
CR,1985,43,3,PLANA,Planaria,2,
CR,1985,43,3,CHIRO,Chironomidae,76,
CR,1985,43,3,OLIGO,Oligochaeta ,,N
CR,1985,GN,1,OSTRA,Ostracoda,,A
CR,1985,GN,1,CHIRO,Chironomidae,5,
CR,1985,GN,1,OLIGO,Oligochaeta ,,N
CR,1985,GN,2,CHIRO,Chironomidae,14,
CR,1985,GN,3,OSTRA,Ostracoda,,A
CR,1985,GN,3,CHIRO,Chironomidae,6,
CR,1985,GN,3,OLIGO,Oligochaeta ,,N
CR,1987,6,1,EPITH,Epitheca,1,
CR,1987,6,1,POLYC,Polycentropus,1,
CR,1987,6,1,LEPTO,Leptoceridae,1,
CR,1987,6,1,POLYD,Polycentropodidae,1,
CR,1987,6,1,PLANA,Planaria,2,
CR,1987,6,1,HYDRC,Hydracarina,3,
CR,1987,6,1,NEMAT,Nematoda,1,
CR,1987,6,1,CHIRO,Chironomidae,28,
CR,1987,6,1,OLIGO,Oligochaeta ,,N
CR,1987,6,2,POLYD,Polycentropodidae,1,
CR,1987,6,2,HYDRC,Hydracarina,2,
CR,1987,6,2,CHIRO,Chironomidae,33,
CR,1987,6,2,HIRUD,Hirudinea,,N
CR,1987,6,3,OECET,Oecetis,1,
CR,1987,6,3,PLANA,Planaria,1,
CR,1987,6,3,HYDRC,Hydracarina,,N
CR,1987,6,3,CHIRO,Chironomidae,21,
CR,1987,6,3,OLIGO,Oligochaeta ,,N
CR,1987,27,1,GOMPH,Gomphidae,1,
CR,1987,27,1,PLANA,Planaria,7,
CR,1987,27,1,CHIRO,Chironomidae,42,
CR,1987,27,1,OLIGO,Oligochaeta ,,N
CR,1987,27,2,PLANA,Planaria,6,
CR,1987,27,2,CHIRO,Chironomidae,42,
CR,1987,27,2,OLIGO,Oligochaeta ,,N
CR,1987,27,3,HYDRC,Hydracarina,3,
CR,1987,27,3,PLANA,Planaria,15,
CR,1987,27,3,PROBE,Probezzia,1,
CR,1987,27,3,CHIRO,Chironomidae,13,
CR,1987,27,3,OLIGO,Oligochaeta ,,N
CR,1987,43,1,POLYC,Polycentropus,1,
CR,1987,43,1,POLYD,Polycentropodidae,1,
CR,1987,43,1,HYDRC,Hydracarina,1,
CR,1987,43,1,PETRO,Petrophila,,N
CR,1987,43,1,CHIRO,Chironomidae,,N
CR,1987,43,1,OLIGO,Oligochaeta ,,N
CR,1987,43,2,POLYC,Polycentropus,1,
CR,1987,43,2,CHIRO,Chironomidae,6,
CR,1987,43,2,OLIGO,Oligochaeta ,,N
CR,1987,43,3,BASIA,Basiaeschna,1,
CR,1987,43,3,POLYD,Polycentropodidae,2,
CR,1987,43,3,POLYC,Polycentropus,3,
CR,1987,43,3,LEPTO,Leptoceridae,1,
CR,1987,43,3,CHIRO,Chironomidae,11,
CR,1987,43,3,OLIGO,Oligochaeta ,,N
CR,1987,GN,1,SIALI,Sialis,,N
CR,1987,GN,1,CHIRO,Chironomidae,70,
CR,1987,GN,2,OSTRA,Ostracoda,,N
CR,1987,GN,2,CHIRO,Chironomidae,78,
CR,1987,GN,2,OLIGO,Oligochaeta ,,N
CR,1987,GN,3,AGRYP,Agrypnia,1,
CR,1987,GN,3,HYDRC,Hydracarina,1,
CR,1987,GN,3,CHIRO,Chironomidae,102,
SP,1981,24,1,PHRYA,Phryganeidae,2,
SP,1981,24,1,LEPTO,Leptoceridae,1,
SP,1981,24,1,PLANA,Planaria,4,
SP,1981,24,1,COENA,Coenagrionidae,3,
SP,1981,24,1,ENALL,Enallagma,3,
SP,1981,24,1,SIALI,Sialis,1,
SP,1981,24,1,HYDRC,Hydracarina,2,
SP,1981,24,1,HELIS,Helisoma,1,
SP,1981,24,1,AMNIC,Amnicola,1,
SP,1981,24,1,PARAL,Paraleptophlebia,224,
SP,1981,24,1,STENO,Stenonema,9,
SP,1981,24,1,ATENE,Atenella,4,
SP,1981,24,1,CAENI,Caenis,15,
SP,1981,24,1,HYALE,Hyalella,31,
SP,1981,24,1,OLIGO,Oligochaeta ,4,
SP,1981,24,1,HYDRR,Hydroporinae,1,
SP,1981,24,1,CHIRO,Chironomidae,41,
SP,1981,24,2,LEPTO,Leptoceridae,3,
SP,1981,24,2,TRIAE,Triaenodes,1,
SP,1981,24,2,PLANA,Planaria,4,
SP,1981,24,2,PELEC,Pelecypoda,4,
SP,1981,24,2,COENA,Coenagrionidae,2,
SP,1981,24,2,ENALL,Enallagma,1,
SP,1981,24,2,BOYER,Boyeria,1,
SP,1981,24,2,HEPTA,Heptageniidae,1,
SP,1981,24,2,TIMPA,Timpagoga,1,
SP,1981,24,2,CHIRO,Chironomidae,50,
SP,1981,24,2,BAETI,Baetidae,1,
SP,1981,24,2,HYDRC,Hydracarina,1,
SP,1981,24,2,AMNIC,Amnicola,9,
SP,1981,24,2,HELIS,Helisoma,1,
SP,1981,24,2,EPHEM,Ephemeroptera,8,
SP,1981,24,2,PARAL,Paraleptophlebia,151,
SP,1981,24,2,STENO,Stenonema,3,
SP,1981,24,2,ATENE,Atenella,1,
SP,1981,24,2,EURYL,Eurylophella,1,
SP,1981,24,2,CAENI,Caenis,5,
SP,1981,24,2,HYALE,Hyalella,36,
SP,1981,24,2,OLIGO,Oligochaeta ,9,
SP,1981,24,2,CERAT,Ceratopogonidae,2,
SP,1981,24,3,TRIAE,Triaenodes,2,
SP,1981,24,3,LEPTO,Leptoceridae,1,
SP,1981,24,3,NECTO,Nectopsyche ,3,
SP,1981,24,3,OECET,Oecetis,1,
SP,1981,24,3,ORTHO,Orthotrichia,1,
SP,1981,24,3,COENA,Coenagrionidae,3,
SP,1981,24,3,ENALL,Enallagma,3,
SP,1981,24,3,PLANA,Planaria,6,
SP,1981,24,3,CAENI,Caenis,18,
SP,1981,24,3,HYDRC,Hydracarina,1,
SP,1981,24,3,EPHEM,Ephemeroptera,7,
SP,1981,24,3,PARAL,Paraleptophlebia,243,
SP,1981,24,3,STENO,Stenonema,10,
SP,1981,24,3,ATENE,Atenella,4,
SP,1981,24,3,HYALE,Hyalella,17,
