year4,sampledate,boats_up,boats_down,total_boats,lockings,remarks
1976,1976-04-08,1,1,2,,
1976,1976-04-09,3,4,7,,
1976,1976-04-10,12,12,24,,
1976,1976-04-11,0,1,1,,
1976,1976-04-12,2,2,4,,
1976,1976-04-13,9,9,18,,
1976,1976-04-14,2,2,4,,
1976,1976-04-15,0,1,1,,
1976,1976-04-16,3,4,7,,
1976,1976-04-17,15,13,28,,
1976,1976-04-18,6,7,13,,
1976,1976-04-19,8,6,14,,
1976,1976-04-20,0,0,0,,
1976,1976-04-21,1,1,2,,
1976,1976-04-22,3,3,6,,
1976,1976-04-23,1,2,3,,
1976,1976-04-24,3,3,6,,
1976,1976-04-25,1,1,2,,
1976,1976-04-26,2,3,5,,
1976,1976-04-27,1,3,4,,
1976,1976-04-28,12,11,23,,
1976,1976-04-29,11,7,18,,
1976,1976-04-30,2,1,3,,
1976,1976-05-01,37,37,74,,
1976,1976-05-02,0,2,2,,
1976,1976-05-03,0,0,0,,
1976,1976-05-04,2,3,5,,
1976,1976-05-05,1,2,3,,
1976,1976-05-06,2,2,4,,
1976,1976-05-07,7,7,14,,
1976,1976-05-08,59,59,118,,
1976,1976-05-09,130,125,255,,
1976,1976-05-10,3,7,10,,
1976,1976-05-11,10,9,19,,
1976,1976-05-12,28,23,51,,
1976,1976-05-13,0,2,2,,
1976,1976-05-14,40,40,80,,
1976,1976-05-15,9,9,18,,
1976,1976-05-16,27,26,53,,
1976,1976-05-17,2,3,5,,
1976,1976-05-18,16,18,34,,
1976,1976-05-19,42,38,80,,
1976,1976-05-20,12,15,27,,
1976,1976-05-21,47,48,95,,
1976,1976-05-22,108,110,218,,
1976,1976-05-23,121,116,237,,
1976,1976-05-24,10,8,18,,
1976,1976-05-25,40,37,77,,
1976,1976-05-26,50,53,103,,
1976,1976-05-27,48,42,90,,
1976,1976-05-28,13,12,25,,
1976,1976-05-29,29,32,61,,
1976,1976-05-30,67,63,130,,
1976,1976-05-31,144,169,313,,
1976,1976-06-01,14,14,28,,
1976,1976-06-02,34,48,82,,
1976,1976-06-03,51,51,102,,
1976,1976-06-04,72,65,137,,
1976,1976-06-05,239,256,495,,
1976,1976-06-06,263,241,504,,
1976,1976-06-07,72,66,138,,
1976,1976-06-08,60,65,125,,
1976,1976-06-09,68,74,142,,
1976,1976-06-10,28,27,55,,
1976,1976-06-11,108,121,229,,
1976,1976-06-12,103,119,222,,
1976,1976-06-13,144,148,292,,
1976,1976-06-14,25,22,47,,
1976,1976-06-15,1,1,2,,
1976,1976-06-16,12,12,24,,
1976,1976-06-17,36,36,72,,
1976,1976-06-18,5,5,10,,
1976,1976-06-19,158,171,329,,
1976,1976-06-20,231,227,458,,
1976,1976-06-21,55,49,104,,
1976,1976-06-22,41,36,77,,
1976,1976-06-23,13,15,28,,
1976,1976-06-24,0,2,2,,
1976,1976-06-25,49,46,95,,
1976,1976-06-26,144,140,284,,
1976,1976-06-27,181,176,357,,
1976,1976-06-28,19,21,40,,
1976,1976-06-29,7,5,12,,
1976,1976-06-30,18,17,35,,
1976,1976-07-01,82,82,164,,
1976,1976-07-02,116,114,230,,
1976,1976-07-03,189,197,386,,
1976,1976-07-04,270,280,550,,
1976,1976-07-05,231,233,464,,
1976,1976-07-06,53,53,106,,
1976,1976-07-07,48,43,91,,
1976,1976-07-08,76,83,159,,
1976,1976-07-09,18,15,33,,
1976,1976-07-10,92,96,188,,
1976,1976-07-11,174,175,349,,
1976,1976-07-12,41,40,81,,
1976,1976-07-13,60,59,119,,
1976,1976-07-14,49,51,100,,
1976,1976-07-15,24,24,48,,
1976,1976-07-16,30,31,61,,
1976,1976-07-17,143,135,278,,
1976,1976-07-18,231,231,462,,
1976,1976-07-19,5,6,11,,
1976,1976-07-20,6,6,12,,
1976,1976-07-21,41,42,83,,
1976,1976-07-22,24,25,49,,
1976,1976-07-23,47,46,93,,
1976,1976-07-24,203,211,414,,
1976,1976-07-25,238,239,477,,
1976,1976-07-26,13,15,28,,
1976,1976-07-27,52,54,106,,
1976,1976-07-28,7,8,15,,
1976,1976-07-29,33,33,66,,
1976,1976-07-30,44,42,86,,
1976,1976-07-31,44,42,86,,
1976,1976-08-01,157,154,311,,
1976,1976-08-02,36,35,71,,
1976,1976-08-03,51,51,102,,
1976,1976-08-04,18,20,38,,
1976,1976-08-05,16,18,34,,
1976,1976-08-06,26,25,51,,
1976,1976-08-07,147,142,289,,
1976,1976-08-08,193,202,395,,
1976,1976-08-09,44,45,89,,
1976,1976-08-10,19,21,40,,
1976,1976-08-11,25,24,49,,
1976,1976-08-12,30,31,61,,
1976,1976-08-13,40,38,78,,
1976,1976-08-14,36,37,73,,
1976,1976-08-15,145,146,291,,
1976,1976-08-16,27,24,51,,
1976,1976-08-17,28,26,54,,
1976,1976-08-18,30,33,63,,
1976,1976-08-19,55,50,105,,
1976,1976-08-20,60,57,117,,
1976,1976-08-21,148,148,296,,
1976,1976-08-22,198,198,396,,
1976,1976-08-23,23,25,48,,
1976,1976-08-24,38,40,78,,
1976,1976-08-25,22,23,45,,
1976,1976-08-26,29,27,56,,
1976,1976-08-27,21,24,45,,
1976,1976-08-28,70,84,154,,
1976,1976-08-29,130,124,254,,
1976,1976-08-30,8,8,16,,
1976,1976-08-31,19,17,36,,
1976,1976-09-01,3,3,6,,
1976,1976-09-02,10,11,21,,
1976,1976-09-03,10,10,20,,
1976,1976-09-04,66,72,138,,
1976,1976-09-05,139,153,292,,
1976,1976-09-06,121,113,234,,
1976,1976-09-07,8,10,18,,
1976,1976-09-08,16,17,33,,
1976,1976-09-09,2,2,4,,
1976,1976-09-10,10,8,18,,
1976,1976-09-11,46,46,92,,
1976,1976-09-12,74,73,147,,
1976,1976-09-13,3,3,6,,
1976,1976-09-14,5,5,10,,
1976,1976-09-15,1,4,5,,
1976,1976-09-16,1,1,2,,
1976,1976-09-17,4,4,8,,
1976,1976-09-18,40,41,81,,
1976,1976-09-19,8,8,16,,
1976,1976-09-20,0,0,0,,
1976,1976-09-21,0,0,0,,
1976,1976-09-22,2,2,4,,
1976,1976-09-23,1,1,2,,
1976,1976-09-24,5,4,9,,
1976,1976-09-25,9,9,18,,
1976,1976-09-26,14,16,30,,
1976,1976-09-27,2,2,4,,
1976,1976-09-28,0,0,0,,
1976,1976-09-29,4,4,8,,
1976,1976-09-30,8,7,15,,
1976,1976-10-01,16,15,31,,
1976,1976-10-02,46,43,89,,
1976,1976-10-03,82,77,159,,
1976,1976-10-04,1,1,2,,
1976,1976-10-05,0,0,0,,
1976,1976-10-06,1,1,2,,
1976,1976-10-07,0,0,0,,
1976,1976-10-08,1,0,1,,
1976,1976-10-09,5,5,10,,
1976,1976-10-10,23,19,42,,
1976,1976-10-11,4,3,7,,
1976,1976-10-12,4,3,7,,
1976,1976-10-13,0,0,0,,
1976,1976-10-14,0,0,0,,
1976,1976-10-15,0,0,0,,
1976,1976-10-16,1,1,2,,
1976,1976-10-17,4,4,8,,
1976,1976-10-18,1,1,2,,
1976,1976-10-19,0,0,0,,
1976,1976-10-20,1,1,2,,
1976,1976-10-21,0,0,0,,
1976,1976-10-22,0,0,0,,
1976,1976-10-23,1,0,1,,
1976,1976-10-24,1,3,4,,
1976,1976-10-25,0,0,0,,
1976,1976-10-26,0,0,0,,
1976,1976-10-27,0,0,0,,
1976,1976-10-28,0,0,0,,
1976,1976-10-29,0,1,1,,
1976,1976-10-30,3,3,6,,CLOSED
1977,1977-04-15,7,8,15,,LOCKINGS NOT AVAILABLE
1977,1977-04-16,50,48,98,,LOCKINGS NOT AVAILABLE
1977,1977-04-17,100,94,194,,
1977,1977-04-18,15,15,30,,
1977,1977-04-19,2,2,4,,
1977,1977-04-20,4,4,8,,
1977,1977-04-21,0,0,0,,
1977,1977-04-22,3,3,6,,
1977,1977-04-23,62,62,124,,
1977,1977-04-24,3,4,7,,
1977,1977-04-25,1,3,4,,
1977,1977-04-26,22,16,38,,
1977,1977-04-27,17,16,33,,
1977,1977-04-28,1,1,2,,
1977,1977-04-29,18,21,39,,
1977,1977-04-30,107,113,220,,
1977,1977-05-01,81,82,163,,
1977,1977-05-02,9,9,18,,
1977,1977-05-03,3,2,5,,
1977,1977-05-04,3,3,6,,
1977,1977-05-05,9,8,17,,
1977,1977-05-06,23,18,41,,
1977,1977-05-07,60,67,127,,
1977,1977-05-08,93,90,183,,
1977,1977-05-09,4,5,9,,
1977,1977-05-10,22,25,47,,
1977,1977-05-11,26,24,50,,
1977,1977-05-12,47,47,94,,
1977,1977-05-13,46,44,90,,
1977,1977-05-14,180,179,359,,
1977,1977-05-15,64,59,123,,
1977,1977-05-16,16,18,34,,
1977,1977-05-17,9,11,20,,
1977,1977-05-18,35,35,70,,
1977,1977-05-19,42,40,82,,
1977,1977-05-20,16,16,32,,
1977,1977-05-21,121,122,243,,
1977,1977-05-22,26,32,58,,
1977,1977-05-23,27,26,53,,
1977,1977-05-24,48,45,93,,
1977,1977-05-25,62,60,122,,
1977,1977-05-26,43,42,85,,
1977,1977-05-27,75,64,139,,
1977,1977-05-28,214,227,441,,
1977,1977-05-29,134,129,263,,
1977,1977-05-30,202,207,409,,
1977,1977-05-31,0,0,0,,
1977,1977-06-01,2,2,4,,
1977,1977-06-02,10,10,20,,
1977,1977-06-03,51,47,98,,
1977,1977-06-04,149,149,298,,
1977,1977-06-05,131,124,255,,
1977,1977-06-06,1,1,2,,
1977,1977-06-07,16,18,34,,
1977,1977-06-08,3,3,6,,
1977,1977-06-09,22,22,44,,
1977,1977-06-10,18,16,34,,
1977,1977-06-11,42,38,80,,
1977,1977-06-12,32,26,58,,
1977,1977-06-13,14,13,27,,
1977,1977-06-14,54,56,110,,
1977,1977-06-15,48,45,93,,
1977,1977-06-16,25,22,47,,
1977,1977-06-17,52,51,103,,
1977,1977-06-18,66,72,138,,
1977,1977-06-19,162,158,320,,
1977,1977-06-20,24,24,48,,
1977,1977-06-21,53,47,100,,
1977,1977-06-22,39,38,77,,
1977,1977-06-23,13,14,27,,
1977,1977-06-24,69,60,129,,
1977,1977-06-25,232,233,465,,
1977,1977-06-26,252,243,495,,
1977,1977-06-27,46,50,96,,
1977,1977-06-28,4,4,8,,
1977,1977-06-29,56,49,105,,
1977,1977-06-30,5,3,8,,
1977,1977-07-01,10,10,20,,
1977,1977-07-02,209,211,420,,
1977,1977-07-03,54,61,115,,
1977,1977-07-04,262,263,525,,
1977,1977-07-05,57,58,115,,
1977,1977-07-06,33,36,69,,
1977,1977-07-07,32,33,65,,
1977,1977-07-08,60,52,112,,
1977,1977-07-09,170,169,339,,
1977,1977-07-10,212,220,432,,
1977,1977-07-11,16,16,32,,
1977,1977-07-12,25,25,50,,
1977,1977-07-13,93,93,186,,
1977,1977-07-14,45,50,95,,
1977,1977-07-15,70,78,148,,
1977,1977-07-16,126,121,247,,
1977,1977-07-17,28,33,61,,
1977,1977-07-18,23,23,46,,
1977,1977-07-19,49,49,98,,
1977,1977-07-20,48,45,93,,
1977,1977-07-21,31,31,62,,
1977,1977-07-22,81,82,163,,
1977,1977-07-23,172,177,349,,
1977,1977-07-24,56,52,108,,
1977,1977-07-25,23,23,46,,
1977,1977-07-26,50,60,110,,
1977,1977-07-27,54,53,107,,
1977,1977-07-28,25,22,47,,
1977,1977-07-29,73,73,146,,
1977,1977-07-30,117,120,237,,
1977,1977-07-31,63,65,128,,
1977,1977-08-01,30,30,60,,
1977,1977-08-02,28,28,56,,
1977,1977-08-03,19,19,38,,
1977,1977-08-04,22,20,42,,
1977,1977-08-05,12,10,22,,
1977,1977-08-06,91,88,179,,
1977,1977-08-07,115,116,231,,
1977,1977-08-08,16,13,29,,
1977,1977-08-09,8,8,16,,
1977,1977-08-10,29,25,54,,
1977,1977-08-11,16,19,35,,
1977,1977-08-12,43,42,85,,
1977,1977-08-13,46,44,90,,
1977,1977-08-14,177,176,353,,
1977,1977-08-15,27,17,44,,
1977,1977-08-16,6,5,11,,
1977,1977-08-17,16,16,32,,
1977,1977-08-18,24,20,44,,
1977,1977-08-19,13,16,29,,
1977,1977-08-20,73,74,147,,
1977,1977-08-21,30,32,62,,
1977,1977-08-22,19,20,39,,
1977,1977-08-23,5,6,11,,
1977,1977-08-24,37,38,75,,
1977,1977-08-25,34,33,67,,
1977,1977-08-26,13,14,27,,
1977,1977-08-27,65,72,137,,
1977,1977-08-28,30,30,60,,
1977,1977-08-29,36,32,68,,
1977,1977-08-30,16,14,30,,
1977,1977-08-31,6,5,11,,
1977,1977-09-01,7,7,14,,
1977,1977-09-02,9,9,18,,
1977,1977-09-03,72,73,145,,
1977,1977-09-04,108,112,220,,
1977,1977-09-05,184,180,364,,
1977,1977-09-06,24,22,46,,
1977,1977-09-07,8,7,15,,
1977,1977-09-08,6,7,13,,
1977,1977-09-09,2,2,4,,
1977,1977-09-10,45,38,83,,
1977,1977-09-11,109,108,217,,
1977,1977-09-12,1,1,2,,
1977,1977-09-13,2,1,3,,
1977,1977-09-14,8,10,18,,
1977,1977-09-15,0,0,0,,
1977,1977-09-16,2,1,3,,
1977,1977-09-17,7,8,15,,
1977,1977-09-18,63,60,123,,
1977,1977-09-19,2,1,3,,
1977,1977-09-20,1,0,1,,
1977,1977-09-21,1,0,1,,
1977,1977-09-22,0,0,0,,
1977,1977-09-23,2,0,2,,
1977,1977-09-24,17,17,34,,
1977,1977-09-25,26,24,50,,
1977,1977-09-26,5,5,10,,
1977,1977-09-27,1,3,4,,
1977,1977-09-28,13,12,25,,
1977,1977-09-29,1,1,2,,
1977,1977-09-30,0,0,0,,
1977,1977-10-01,0,0,0,,
1977,1977-10-02,11,9,20,,
1977,1977-10-03,4,3,7,,
1977,1977-10-04,1,1,2,,
1977,1977-10-05,0,2,2,,
1977,1977-10-06,3,2,5,,
1977,1977-10-07,1,1,2,,
1977,1977-10-08,1,0,1,,
1977,1977-10-09,8,6,14,,
1977,1977-10-10,1,1,2,,
1977,1977-10-11,0,0,0,,
1977,1977-10-12,7,3,10,,
1977,1977-10-13,4,5,9,,
1977,1977-10-14,1,2,3,,
1977,1977-10-15,1,7,8,,
1977,1977-10-16,10,7,17,,
1977,1977-10-17,0,0,0,,
1977,1977-10-18,0,0,0,,
1977,1977-10-19,1,1,2,,
1977,1977-10-20,7,7,14,,
1977,1977-10-21,1,1,2,,
1977,1977-10-22,4,4,8,,
1977,1977-10-23,1,0,1,,
1977,1977-10-24,0,1,1,,
1977,1977-10-25,1,0,1,,
1977,1977-10-26,0,0,0,,
1977,1977-10-27,1,1,2,,
1977,1977-10-28,2,2,4,,
1977,1977-10-29,8,11,19,,
1977,1977-10-30,6,6,12,,CLOSED
1978,1978-04-22,7,8,15,12,
1978,1978-04-23,7,8,15,13,
1978,1978-04-24,0,0,0,0,
1978,1978-04-25,0,0,0,0,
1978,1978-04-26,4,5,9,8,
1978,1978-04-27,12,10,22,17,
1978,1978-04-28,14,16,30,22,
1978,1978-04-29,14,15,29,23,
1978,1978-04-30,14,13,27,24,
1978,1978-05-01,1,1,2,2,
1978,1978-05-02,7,8,15,13,
1978,1978-05-03,12,14,26,20,
1978,1978-05-04,1,1,2,2,
1978,1978-05-05,2,1,3,3,
1978,1978-05-06,92,96,188,58,
1978,1978-05-07,12,10,22,13,
1978,1978-05-08,2,2,4,4,
1978,1978-05-09,0,0,0,0,
1978,1978-05-10,17,18,35,22,
1978,1978-05-11,1,1,2,2,
1978,1978-05-12,12,15,27,22,
1978,1978-05-13,0,0,0,0,
1978,1978-05-14,1,1,2,2,
1978,1978-05-15,2,2,4,4,
1978,1978-05-16,4,5,9,8,
1978,1978-05-17,26,28,54,30,
1978,1978-05-18,50,44,94,45,
1978,1978-05-19,35,35,70,46,
1978,1978-05-20,48,45,93,55,
1978,1978-05-21,147,134,281,61,
1978,1978-05-22,19,16,35,21,
1978,1978-05-23,2,2,4,4,
1978,1978-05-24,32,34,66,43,
1978,1978-05-25,27,29,56,41,
1978,1978-05-26,88,92,180,71,
1978,1978-05-27,183,173,356,66,
1978,1978-05-28,184,191,375,60,
1978,1978-05-29,161,158,319,66,
1978,1978-05-30,10,12,22,20,
1978,1978-05-31,29,29,58,35,
1978,1978-06-01,7,9,16,13,
1978,1978-06-02,21,21,42,28,
1978,1978-06-03,106,106,212,53,
1978,1978-06-04,116,118,234,56,
1978,1978-06-05,23,22,45,26,
1978,1978-06-06,35,33,68,38,
1978,1978-06-07,14,14,28,21,
1978,1978-06-08,32,32,64,38,
1978,1978-06-09,59,58,117,51,
1978,1978-06-10,84,82,166,71,
1978,1978-06-11,93,94,187,51,
1978,1978-06-12,15,16,31,24,
1978,1978-06-13,46,46,92,46,
1978,1978-06-14,4,5,9,9,
1978,1978-06-15,21,21,42,31,
1978,1978-06-16,2,2,4,3,
1978,1978-06-17,22,26,48,30,
1978,1978-06-18,198,194,392,57,
1978,1978-06-19,60,57,117,50,
1978,1978-06-20,17,16,33,20,
1978,1978-06-21,43,40,83,49,
1978,1978-06-22,63,64,127,60,
1978,1978-06-23,23,23,46,34,
1978,1978-06-24,213,201,414,67,
1978,1978-06-25,27,27,54,34,
1978,1978-06-26,72,63,135,53,
1978,1978-06-27,56,56,112,58,
1978,1978-06-28,84,83,167,63,
1978,1978-06-29,89,86,175,65,
1978,1978-06-30,10,11,21,17,
1978,1978-07-01,25,24,49,30,
1978,1978-07-02,42,43,85,37,
1978,1978-07-03,92,94,186,55,
1978,1978-07-04,275,272,547,74,
1978,1978-07-05,28,24,52,32,
1978,1978-07-06,27,27,54,29,
1978,1978-07-07,38,35,73,49,
1978,1978-07-08,219,207,426,67,
1978,1978-07-09,116,123,239,56,
1978,1978-07-10,41,41,82,48,
1978,1978-07-11,62,56,118,50,
1978,1978-07-12,9,10,19,12,
1978,1978-07-13,55,51,106,49,
1978,1978-07-14,71,69,140,60,
1978,1978-07-15,219,227,446,67,
1978,1978-07-16,237,240,477,57,
1978,1978-07-17,23,22,45,29,
1978,1978-07-18,19,18,37,22,
1978,1978-07-19,46,46,92,45,
1978,1978-07-20,10,8,18,11,
1978,1978-07-21,9,9,18,16,
1978,1978-07-22,36,36,72,45,
1978,1978-07-23,193,197,390,57,
1978,1978-07-24,27,29,56,38,
1978,1978-07-25,16,14,30,25,
1978,1978-07-26,19,20,39,27,
1978,1978-07-27,48,53,101,43,
1978,1978-07-28,28,23,51,34,
1978,1978-07-29,74,75,149,48,
1978,1978-07-30,98,97,195,50,
1978,1978-07-31,17,17,34,21,
1978,1978-08-01,51,51,102,54,
1978,1978-08-02,26,26,52,27,
1978,1978-08-03,34,37,71,42,
1978,1978-08-04,70,65,135,64,
1978,1978-08-05,183,196,379,65,
1978,1978-08-06,219,217,436,57,
1978,1978-08-07,61,60,121,60,
1978,1978-08-08,23,20,43,31,
1978,1978-08-09,61,64,125,55,
1978,1978-08-10,64,57,121,49,
1978,1978-08-11,67,68,135,55,
1978,1978-08-12,175,176,351,65,
1978,1978-08-13,210,213,423,58,
1978,1978-08-14,39,41,80,41,
1978,1978-08-15,17,16,33,21,
1978,1978-08-16,15,15,30,21,
1978,1978-08-17,32,33,65,37,
1978,1978-08-18,7,6,13,12,
1978,1978-08-19,100,92,192,63,
1978,1978-08-20,187,197,384,57,
1978,1978-08-21,15,8,23,16,
1978,1978-08-22,38,44,82,40,
1978,1978-08-23,36,37,73,46,
1978,1978-08-24,46,46,92,49,
1978,1978-08-25,31,30,61,33,
1978,1978-08-26,71,73,144,50,
1978,1978-08-27,54,51,105,45,
1978,1978-08-28,1,2,3,3,
1978,1978-08-29,28,28,56,34,
1978,1978-08-30,29,25,54,35,
1978,1978-08-31,33,33,66,45,
1978,1978-09-01,48,46,94,52,
1978,1978-09-02,76,81,157,62,
1978,1978-09-03,187,192,379,63,
1978,1978-09-04,213,213,426,58,
1978,1978-09-05,17,16,33,23,
1978,1978-09-06,24,19,43,31,
1978,1978-09-07,31,32,63,43,
1978,1978-09-08,74,68,142,53,
1978,1978-09-09,174,165,339,64,
1978,1978-09-10,180,171,351,52,
1978,1978-09-11,3,3,6,6,
1978,1978-09-12,2,2,4,4,
1978,1978-09-13,0,0,0,0,
1978,1978-09-14,5,5,10,9,
1978,1978-09-15,8,7,15,12,
1978,1978-09-16,28,28,56,33,
1978,1978-09-17,24,22,46,26,
1978,1978-09-18,5,4,9,8,
1978,1978-09-19,3,3,6,6,
1978,1978-09-20,1,1,2,2,
1978,1978-09-21,3,3,6,6,
1978,1978-09-22,6,6,12,10,
1978,1978-09-23,30,26,56,33,
1978,1978-09-24,87,90,177,35,
1978,1978-09-25,4,4,8,8,
1978,1978-09-26,0,0,0,0,
1978,1978-09-27,2,2,4,4,
1978,1978-09-28,8,7,15,13,
1978,1978-09-29,1,1,2,2,
1978,1978-09-30,3,4,7,6,
1978,1978-10-01,52,51,103,43,
1978,1978-10-02,1,1,2,2,
1978,1978-10-03,0,0,0,0,
1978,1978-10-04,1,1,2,2,
1978,1978-10-05,0,0,0,0,
1978,1978-10-06,1,1,2,2,
1978,1978-10-07,1,0,1,1,
1978,1978-10-08,14,13,27,18,
1978,1978-10-09,0,0,0,0,
1978,1978-10-10,0,0,0,0,
1978,1978-10-11,0,0,0,0,
1978,1978-10-12,0,0,0,0,
1978,1978-10-13,0,0,0,0,
1978,1978-10-14,3,2,5,5,
1978,1978-10-15,2,2,4,4,
1978,1978-10-16,1,0,1,1,
1978,1978-10-17,0,0,0,0,
1978,1978-10-18,2,2,4,4,
1978,1978-10-19,2,1,3,2,
1978,1978-10-20,1,2,3,3,
1978,1978-10-21,16,15,31,16,
1978,1978-10-22,9,8,17,13,
1978,1978-10-23,1,1,2,2,
1978,1978-10-24,1,1,2,2,
1978,1978-10-25,0,0,0,0,
1978,1978-10-26,0,1,1,1,
1978,1978-10-27,1,1,2,2,
1978,1978-10-28,8,7,15,12,
1978,1978-10-29,0,0,0,0,
1978,1978-10-30,0,0,0,0,
1978,1978-10-31,0,0,0,0, CLOSED
1979,1979-04-27,0,0,0,0,
1979,1979-04-28,9,9,18,15,
1979,1979-04-29,0,0,0,0,
1979,1979-04-30,0,0,0,0,
1979,1979-05-01,1,3,4,4,
1979,1979-05-02,1,1,2,2,
1979,1979-05-03,0,0,0,0,
1979,1979-05-04,1,2,3,3,
1979,1979-05-05,13,16,29,25,
1979,1979-05-06,48,53,101,32,
1979,1979-05-07,4,4,8,7,
1979,1979-05-08,3,3,6,6,
1979,1979-05-09,13,10,23,20,
1979,1979-05-10,24,19,43,33,
1979,1979-05-11,6,7,13,13,
1979,1979-05-12,42,32,74,46,
1979,1979-05-13,26,22,48,30,
1979,1979-05-14,3,10,13,10,
1979,1979-05-15,7,7,14,10,
1979,1979-05-16,25,26,51,27,
1979,1979-05-17,7,7,14,10,
1979,1979-05-18,9,11,20,15,
1979,1979-05-19,35,39,74,42,
1979,1979-05-20,99,94,193,50,
1979,1979-05-21,6,4,10,9,
1979,1979-05-22,2,3,5,3,
1979,1979-05-23,0,0,0,0,
1979,1979-05-24,1,1,2,2,
1979,1979-05-25,18,20,38,30,
1979,1979-05-26,116,110,226,65,
1979,1979-05-27,174,182,356,56,
1979,1979-05-28,206,206,412,60,
1979,1979-05-29,21,22,43,24,
1979,1979-05-30,6,6,12,9,
1979,1979-05-31,13,13,26,17,
1979,1979-06-01,36,38,74,42,
1979,1979-06-02,161,137,298,72,
1979,1979-06-03,195,215,410,54,
1979,1979-06-04,6,6,12,9,
1979,1979-06-05,25,25,50,30,
1979,1979-06-06,15,16,31,28,
1979,1979-06-07,8,6,14,14,
