year4,sampledate,wellid,well_level,flag
1985,1985-01-14,D3,-2.64,N
1985,1985-05-22,D3,-2.35,N
1985,1985-10-06,D3,-2.44,N
1985,1985-11-16,D3,-2.45,N
1986,1986-05-13,D3,-2.44,N
1986,1986-07-01,D3,-2.4,N
1986,1986-09-03,D3,-2.63,N
1987,1987-07-13,D3,-2.71,N
1987,1987-08-23,D3,-2.72,N
1987,1987-09-03,D3,-2.73,N
1987,1987-10-10,D3,-2.76,N
1987,1987-11-16,D3,-2.77,N
1987,1987-12-14,D3,-2.73,N
1988,1988-01-25,D3,-2.69,N
1988,1988-02-18,D3,-2.75,N
1988,1988-03-24,D3,-2.75,N
1988,1988-04-21,D3,-2.68,N
1988,1988-06-01,D3,-2.71,N
1988,1988-06-20,D3,-2.77,N
1988,1988-08-22,D3,-3.09,N
1988,1988-09-27,D3,-2.8,N
1988,1988-10-27,D3,-2.79,N
1988,1988-11-22,D3,-2.69,N
1989,1989-01-27,D3,-2.67,N
1989,1989-02-20,D3,-2.68,N
1989,1989-03-23,D3,-2.7,N
1989,1989-04-20,D3,-2.63,N
1989,1989-06-13,D3,-2.59,N
1989,1989-08-18,D3,-2.75,N
1989,1989-09-29,D3,-2.83,N
1989,1989-10-26,D3,-2.81,N
1989,1989-12-01,D3,-2.77,N
1990,1990-01-10,D3,-2.76,N
1990,1990-02-15,D3,-2.75,N
1990,1990-03-21,D3,-2.71,N
1990,1990-04-24,D3,-2.74,N
1990,1990-05-24,D3,-2.67,N
1990,1990-07-03,D3,-2.73,N
1990,1990-08-17,D3,-2.79,N
1990,1990-09-14,D3,-2.72,N
1990,1990-10-17,D3,-2.69,N
1990,1990-11-15,D3,-2.65,N
1990,1990-12-13,D3,-2.66,N
1991,1991-01-10,D3,-2.69,N
1991,1991-02-13,D3,-2.7,N
1991,1991-04-17,D3,-2.57,N
1991,1991-05-31,D3,-2.46,N
1991,1991-07-01,D3,-2.45,N
1991,1991-07-29,D3,-2.5,N
1991,1991-10-04,D3,-2.66,N
1991,1991-10-24,D3,-2.65,N
1991,1991-11-22,D3,-2.59,N
1992,1992-01-07,D3,-2.58,N
1992,1992-02-05,D3,-2.58,N
1992,1992-03-09,D3,-2.59,N
1992,1992-04-02,D3,-2.61,N
1992,1992-05-08,D3,-2.48,N
1992,1992-06-11,D3,-2.53,N
1992,1992-09-08,D3,-2.68,N
1992,1992-10-05,D3,-2.68,N
1992,1992-12-10,D3,-2.64,N
1993,1993-01-04,D3,-2.65,N
1993,1993-02-12,D3,-2.67,N
1993,1993-03-19,D3,-2.71,N
1993,1993-05-05,D3,-2.54,N
1993,1993-06-22,D3,-2.51,N
1993,1993-07-26,D3,-2.56,N
1993,1993-08-25,D3,-2.63,N
1993,1993-10-01,D3,-2.68,N
1993,1993-11-04,D3,-2.67,N
1993,1993-12-16,D3,-2.68,N
1994,1994-01-06,D3,-2.73,N
1994,1994-02-17,D3,-2.68,N
1994,1994-03-22,D3,-2.72,N
1994,1994-04-18,D3,-2.55,N
1994,1994-05-11,D3,-2.54,N
1994,1994-07-29,D3,-2.72,N
1994,1994-09-07,D3,-2.72,N
1994,1994-10-14,D3,-2.7,N
1994,1994-11-29,D3,-2.68,N
1995,1995-05-29,D3,-2.52,N
1995,1995-07-01,D3,-2.64,N
1995,1995-08-25,D3,-2.69,N
1995,1995-10-04,D3,-2.71,N
1996,1996-05-29,D3,-2.43,N
1996,1996-07-25,D3,-2.45,N
1996,1996-09-06,D3,-2.48,N
1996,1996-10-14,D3,-2.64,N
1996,1996-12-05,D3,-2.53,N
1997,1997-03-04,D3,-2.63,N
1997,1997-04-12,D3,-2.53,N
1997,1997-05-26,D3,-2.46,N
1997,1997-07-14,D3,-2.49,N
1997,1997-09-05,D3,-2.59,N
1997,1997-10-29,D3,-2.63,N
1997,1997-12-04,D3,-2.66,N
1998,1998-01-09,D3,-2.68,N
1998,1998-03-13,D3,-2.7,N
1998,1998-04-14,D3,-2.61,N
1998,1998-07-08,D3,-2.66,N
1998,1998-10-01,D3,-2.83,N
1998,1998-10-26,D3,-2.82,N
1998,1998-12-02,D3,-2.8,N
1999,1999-03-31,D3,-2.78,N
1999,1999-04-28,D3,-2.73,N
1999,1999-07-08,D3,-2.65,N
1999,1999-09-15,D3,-2.72,N
1999,1999-10-15,D3,-2.77,N
1999,1999-12-01,D3,-2.67,N
2000,2000-01-10,D3,-2.75,N
2000,2000-03-01,D3,-2.75,N
2000,2000-04-19,D3,-2.71,N
2000,2000-06-28,D3,-2.72,N
2000,2000-09-11,D3,-2.68,N
2000,2000-10-17,D3,-2.75,N
2000,2000-11-07,D3,-2.75,N
2000,2000-12-02,D3,-2.75,N
2001,2001-03-21,D3,-2.76,N
2001,2001-05-10,D3,-2.6,N
2001,2001-06-12,D3,-2.58,N
2001,2001-07-13,D3,-2.75,N
2001,2001-11-07,D3,-2.75,N
2001,2001-12-14,D3,-2.68,N
2002,2002-04-10,D3,-2.72,N
2002,2002-05-24,D3,-2.38,N
2002,2002-08-09,D3,-2.53,N
2002,2002-11-30,D3,-2.57,N
2003,2003-03-14,D3,-2.7,N
2003,2003-05-13,D3,-2.49,N
2003,2003-07-31,D3,-2.63,N
2003,2003-09-09,D3,-2.69,N
2003,2003-10-08,D3,-2.77,N
2004,2004-06-06,D3,-2.55,N
2004,2004-07-15,D3,-2.59,N
2004,2004-09-21,D3,-2.73,N
2004,2004-10-17,D3,-2.73,N
2004,2004-12-02,D3,-2.73,N
2005,2005-04-30,D3,-2.74,N
2005,2005-06-08,D3,-2.75,N
2005,2005-07-11,D3,-2.79,N
2005,2005-08-12,D3,-2.87,N
2005,2005-11-04,D3,-2.76,N
2006,2006-02-09,D3,-2.74,N
2006,2006-04-24,D3,-2.68,N
2006,2006-07-12,D3,-2.69,N
2006,2006-08-17,D3,-2.76,N
2006,2006-10-05,D3,-2.79,N
2006,2006-11-09,D3,-2.78,N
2007,2007-04-02,D3,2.64,N
2007,2007-05-11,D3,2.63,N
2007,2007-06-20,D3,2.68,N
2007,2007-08-30,D3,2.83,N
2007,2007-11-05,D3,2.73,N
2008,2008-02-06,D3,2.74,N
2008,2008-04-30,D3,2.58,N
2008,2008-06-12,D3,2.61,N
2008,2008-08-20,D3,2.7,N
2008,2008-10-09,D3,2.76,N
2008,2008-11-20,D3,2.73,N
2009,2009-02-02,D3,2.73,N
2009,2009-03-26,D3,2.73,N
2009,2009-05-07,D3,2.74,N
2009,2009-06-23,D3,2.7,N
2009,2009-07-06,D3,2.71,N
2009,2009-08-14,D3,2.78,N
2009,2009-09-18,D3,2.81,N
