lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
AL,1,1981,,,,,334,1981-11-30,343,1981-12-09
AL,1,1982,,,121,1982-05-01,319,1982-11-15,326,1982-11-22
AL,1,1983,116,1983-04-26,117,1983-04-27,322,1983-11-18,332,1983-11-28
AL,1,1984,110,1984-04-19,112,1984-04-21,313,1984-11-08,314,1984-11-09
AL,1,1985,109,1985-04-19,111,1985-04-21,315,1985-11-11,329,1985-11-25
AL,1,1986,101,1986-04-11,102,1986-04-12,315,1986-11-11,318,1986-11-14
AL,1,1987,99,1987-04-09,100,1987-04-10,320,1987-11-16,327,1987-11-23
AL,1,1988,102,1988-04-11,103,1988-04-12,333,1988-11-28,335,1988-11-30
AL,1,1989,114,1989-04-24,116,1989-04-26,324,1989-11-20,326,1989-11-22
AL,1,1990,106,1990-04-16,107,1990-04-17,334,1990-11-30,337,1990-12-03
AL,1,1991,107,1991-04-17,108,1991-04-18,310,1991-11-06,312,1991-11-08
AL,1,1992,118,1992-04-27,119,1992-04-28,318,1992-11-13,321,1992-11-16
AL,1,1993,120,1993-04-30,122,1993-05-02,328,1993-11-24,333,1993-11-29
AL,1,1994,108,1994-04-18,110,1994-04-20,327,1994-11-23,330,1994-11-26
AL,1,1995,112,1995-04-22,115,1995-04-25,311,1995-11-07,313,1995-11-09
AL,1,1996,129,1996-05-08,130,1996-05-09,318,1996-11-13,319,1996-11-14
AL,1,1997,116,1997-04-26,118,1997-04-28,318,1997-11-14,321,1997-11-17
AL,1,1998,98,1998-04-08,99,1998-04-09,344,1998-12-10,345,1998-12-11
AL,1,1999,102,1999-04-12,104,1999-04-14,334,1999-11-30,335,1999-12-01
AL,1,2000,84,2000-03-24,86,2000-03-26,322,2000-11-17,325,2000-11-20
AL,1,2001,110,2001-04-20,113,2001-04-23,343,2001-12-09,345,2001-12-11
AL,1,2002,107,2002-04-17,109,2002-04-19,319,2002-11-15,322,2002-11-18
AL,1,2003,112,2003-04-22,113,2003-04-23,330,2003-11-26,332,2003-11-28
AL,1,2004,107,2004-04-16,110,2004-04-19,345,2004-12-10,348,2004-12-13
AL,1,2005,101,2005-04-11,102,2005-04-12,326,2005-11-22,329,2005-11-25
AL,1,2006,103,2006-04-13,104,2006-04-14,334,2006-11-30,335,2006-12-01
AL,1,2007,99,2007-04-09,102,2007-04-12,325,2007-11-21,327,2007-11-23
AL,1,2008,116,2008-04-25,119,2008-04-28,329,2008-11-24,330,2008-11-25
AL,1,2009,107,2009-04-17,110,2009-04-20,338,2009-12-04,341,2009-12-07
AL,1,2010,88,2010-03-29,90,2010-03-31,327,2010-11-23,331,2010-11-27
AL,1,2011,115,2011-04-25,116,2011-04-26,333,2011-11-28,335,2011-11-30
