lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
AL,1981,113,1981-04-23,,V,extcoef: No light data
AL,1981,142,1981-05-22,,V,extcoef: No light data
AL,1981,154,1981-06-03,,V,extcoef: No light data
AL,1981,168,1981-06-17,0.722,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,183,1981-07-02,0.806,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,197,1981-07-16,0.744,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,209,1981-07-28,0.559,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,224,1981-08-12,0.814,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,239,1981-08-27,0.637,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,255,1981-09-12,0.961,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1981,269,1981-09-26,,V,extcoef: Insufficient light data
AL,1981,295,1981-10-22,0.779,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1982,26,1982-01-26,,V,extcoef: No light data
AL,1982,54,1982-02-23,,V,extcoef: No light data
AL,1982,95,1982-04-05,,V,extcoef: No light data
AL,1982,131,1982-05-11,1.011,,
AL,1982,145,1982-05-25,0.745,,
AL,1982,160,1982-06-09,0.582,,
AL,1982,176,1982-06-25,0.71,,
AL,1982,186,1982-07-05,0.688,,
AL,1982,202,1982-07-21,,V,extcoef: No light data
AL,1982,217,1982-08-05,,V,extcoef: No light data
AL,1982,228,1982-08-16,0.814,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,1982,251,1982-09-08,1.003,,
AL,1982,264,1982-09-21,1.37,,
AL,1982,278,1982-10-05,0.81,,
AL,1982,295,1982-10-22,1.168,,
AL,1982,312,1982-11-08,0.927,,
AL,1982,334,1982-11-30,,V,extcoef: No light data
AL,1983,17,1983-01-17,,V,extcoef: No light data
AL,1983,49,1983-02-18,,V,extcoef: No light data
AL,1983,82,1983-03-23,,V,extcoef: No light data
AL,1983,130,1983-05-10,1.074,,
AL,1983,145,1983-05-25,0.775,,
AL,1983,159,1983-06-08,0.853,,
AL,1983,173,1983-06-22,0.58,,
AL,1983,186,1983-07-05,,V,extcoef: Light not monotonically decreasing
AL,1983,201,1983-07-20,0.774,,
AL,1983,216,1983-08-04,0.847,,
AL,1983,227,1983-08-15,0.777,,
AL,1983,252,1983-09-09,0.882,,
AL,1983,272,1983-09-29,1.043,,
AL,1983,291,1983-10-18,0.998,,
AL,1983,320,1983-11-16,,V,extcoef: No light data
AL,1984,6,1984-01-06,,V,extcoef: No light data
AL,1984,60,1984-02-29,,V,extcoef: No light data
AL,1984,94,1984-04-03,,V,extcoef: No light data
AL,1984,130,1984-05-09,,V,extcoef: No light data
AL,1984,144,1984-05-23,0.801,,
AL,1984,157,1984-06-05,0.723,,
AL,1984,173,1984-06-21,0.821,,
AL,1984,185,1984-07-03,0.667,,
AL,1984,200,1984-07-18,0.823,,
AL,1984,215,1984-08-02,0.611,,
AL,1984,227,1984-08-14,0.714,,
AL,1984,250,1984-09-06,,V,extcoef: Insufficient light data
AL,1984,268,1984-09-24,,V,extcoef: Insufficient light data
AL,1984,289,1984-10-15,0.787,,
AL,1984,313,1984-11-08,1.154,,
AL,1985,7,1985-01-07,1.941,J,extcoef: Water level assumed = 0
AL,1985,56,1985-02-25,1.139,,
AL,1985,86,1985-03-27,0.727,,
AL,1985,120,1985-04-30,1.049,,
AL,1985,136,1985-05-16,0.703,,
AL,1985,148,1985-05-28,0.838,,
AL,1985,162,1985-06-11,0.808,,
AL,1985,175,1985-06-24,0.807,,
AL,1985,192,1985-07-11,0.893,,
AL,1985,204,1985-07-23,0.864,,
AL,1985,219,1985-08-07,0.841,,
AL,1985,231,1985-08-19,1.94,,
AL,1985,255,1985-09-12,1.141,,
AL,1985,273,1985-09-30,0.636,,
AL,1985,295,1985-10-22,0.874,,
AL,1985,315,1985-11-11,,V,extcoef: Insufficient light data
AL,1986,16,1986-01-16,,V,extcoef: Insufficient light data
AL,1986,62,1986-03-03,,V,extcoef: Insufficient light data
AL,1986,90,1986-03-31,,V,extcoef: Ice depth is missing
AL,1986,114,1986-04-24,0.938,,
AL,1986,128,1986-05-08,0.655,,
AL,1986,140,1986-05-20,0.5,,
AL,1986,153,1986-06-02,0.687,,
AL,1986,169,1986-06-18,0.618,,
AL,1986,183,1986-07-02,0.701,,
AL,1986,197,1986-07-16,0.73,,
AL,1986,209,1986-07-28,0.798,,
AL,1986,225,1986-08-13,0.753,,
AL,1986,238,1986-08-26,0.779,,
AL,1986,253,1986-09-10,,V,extcoef: Insufficient light data
AL,1986,265,1986-09-22,0.658,,
AL,1986,282,1986-10-09,1.033,,
AL,1986,295,1986-10-22,0.887,,
AL,1986,307,1986-11-03,,V,extcoef: Insufficient light data
AL,1987,20,1987-01-20,,V,extcoef: Insufficient light data
AL,1987,55,1987-02-24,,V,extcoef: Insufficient light data
AL,1987,78,1987-03-19,0.747,,
AL,1987,105,1987-04-15,0.827,,
AL,1987,124,1987-05-04,0.644,,
AL,1987,138,1987-05-18,0.451,,
AL,1987,152,1987-06-01,0.668,,
AL,1987,162,1987-06-11,0.552,,
