lakeid,year4,daynum,sampledate,sta,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
AL,1981,113,1981-04-23,1,,,,1.2,,,,99,
AL,1981,142,1981-05-22,1,,,,17,W,,,99,
AL,1981,154,1981-06-03,1,,,,,NW,15,,,
AL,1981,168,1981-06-17,1,,,,23,,,,0,
AL,1981,183,1981-07-02,1,,,,25,S,,,,
AL,1981,197,1981-07-16,1,,,,18.4,NW,,,99,
AL,1981,209,1981-07-28,1,,,,20,NW,,0,50,
AL,1981,224,1981-08-12,1,,,,27,S,5,1,99,
AL,1981,239,1981-08-27,1,,,,22.5,NE,8,,50,
AL,1981,255,1981-09-12,1,,,,22.8,SW,10,13,0,
AL,1981,269,1981-09-26,1,,,,14,S,13,5,99,
AL,1981,295,1981-10-22,1,,,,-0.2,SSW,4,2,3,
AL,1982,26,1982-01-26,1,2.3,1100,1255,-16.3,,0,,5,1
AL,1982,54,1982-02-23,1,2.2,1145,1325,-4,E,5,,95,1
AL,1982,95,1982-04-05,1,2.5,1100,1216,-7,NE,8,,99,1
AL,1982,131,1982-05-11,1,1.7,1405,1530,20,W,5,10,20,
AL,1982,145,1982-05-25,1,1.9,1516,1650,24,SW,3,3,50,
AL,1982,160,1982-06-09,1,3,1500,1630,18,SE,5,13,80,
AL,1982,176,1982-06-25,1,2.5,840,949,11.5,NE,5,10,60,
AL,1982,186,1982-07-05,1,3.3,1132,1320,26.5,SE,7,4,20,
AL,1982,202,1982-07-21,1,3.2,1353,1420,27,,0,2,99,
AL,1982,217,1982-08-05,1,2.8,1500,1638,28,,0,0,40,
AL,1982,228,1982-08-16,1,3,1552,1725,28,W,10,5,40,
AL,1982,251,1982-09-08,1,1.9,1444,1610,19,SW,6,4,98,
AL,1982,264,1982-09-21,1,1.5,1345,1450,12.6,N,8,6,0,
AL,1982,278,1982-10-05,1,2,1435,1550,22,,0,3,15,
AL,1982,295,1982-10-22,1,2.3,1037,1150,1.3,W,3,5,30,
AL,1982,312,1982-11-08,1,2.4,1412,1540,2.8,WNW,5,5,99,
AL,1982,334,1982-11-30,1,3.5,1329,1430,0.8,,3,,99,
AL,1983,17,1983-01-17,1,3,915,1110,-13,NE,7,,99,1
AL,1983,17,1983-01-17,1,,,,,,,,,1
AL,1983,49,1983-02-18,1,3,1030,1230,0.9,W,4,,99,1
AL,1983,49,1983-02-18,1,,,,,,,,,1
AL,1983,82,1983-03-23,1,2.5,1515,1645,-5.3,W,5,,30,1
AL,1983,82,1983-03-23,1,,,,,,,,,1
AL,1983,130,1983-05-10,1,2.1,1612,1748,18,S,5,4,0,
AL,1983,130,1983-05-10,1,,,,,,,,,
AL,1983,145,1983-05-25,1,2.4,1504,1615,11.8,NW,10,15,2,
AL,1983,145,1983-05-25,1,,,,,,,,,
