lakeid,year4,year_fraction,start_daynum,end_daynum,duration,med_daynum,med_date,trap,size_fraction,mass_flux,particle_mass_mg,particle_mass_conc_mg_per_l,volume_l,ratio_n,ratio_c,ratio_p,flux_n,flux_c,flux_p,flag,comments
CR,1986,1986.49,160,198,38,179,1986-06-28,,<111,162.47,,,,0.022,0.271,0.0014,3.54,44,0.235,,
CR,1986,1986.49,160,198,38,179,1986-06-28,,>111,92.05,,,,0.075,0.475,0.0015,6.94,43.71,0.139,,
CR,1986,1986.581,198,226,28,212,1986-07-31,,<111,150.41,,,,0.078,0.272,0.0011,11.7,40.88,0.163,,
CR,1986,1986.581,198,226,28,212,1986-07-31,,>111,57.81,,,,0.087,0.469,0.0026,5.01,27.12,0.151,,
CR,1986,1986.658,226,254,28,240,1986-08-28,,<111,103.84,,,,0.079,0.28,0.0025,8.21,29.03,0.258,,
CR,1986,1986.658,226,254,28,240,1986-08-28,,>111,115.62,,,,0.108,0.474,0.0015,12.53,54.76,0.17,,
CR,1986,1986.733,254,281,27,267.5,1986-09-24,,<111,400,,,,0.035,0.267,0.0022,14.12,106.88,0.89,,
CR,1986,1986.733,254,281,27,267.5,1986-09-24,,>111,199.45,,,,0.102,0.48,0.0033,20.3,95.82,0.668,,
CR,1986,1986.805,280,308,28,294,1986-10-21,,<111,264.38,,,,0.032,0.276,0.0035,8.33,72.86,0.913,,
CR,1986,1986.805,280,308,28,294,1986-10-21,,>111,53.97,,,,0.074,0.415,0.0024,3.97,22.37,0.132,,
CR,1987,1987.341,110,139,29,124.5,1987-05-04,,<111,94.79,,,,0.091,0.318,0.0022,8.58,30.13,0.208,,
CR,1987,1987.341,110,139,29,124.5,1987-05-04,,>111,27.95,,,,0.039,0.353,0.0024,1.08,9.87,0.066,,
CR,1987,1987.415,139,164,25,151.5,1987-05-31,,<111,112.33,,,,0.109,0.268,0.0021,12.24,30.1,0.237,,
CR,1987,1987.415,139,164,25,151.5,1987-05-31,,>111,58.36,,,,0.076,0.498,0.0075,4.45,29.06,0.438,,
CR,1987,1987.495,164,197,33,180.5,1987-06-29,,<111,81.37,,,,0.09,0.26,0.0024,7.36,21.16,0.199,,
CR,1987,1987.495,164,197,33,180.5,1987-06-29,,>111,37.81,,,,0.072,0.446,0.0074,2.72,16.85,0.28,,
CR,1987,1987.577,197,224,27,210.5,1987-07-29,,<111,270.14,,,,0.031,0.27,0.0039,8.37,72.94,1.05,,
CR,1987,1987.577,197,224,27,210.5,1987-07-29,,>111,98.63,,,,0.086,0.467,0.0108,8.44,46.04,1.062,,
CR,1987,1987.651,224,251,27,237.5,1987-08-25,,<111,300.82,,,,0.043,0.269,0.0035,12.82,80.92,1.054,,
CR,1987,1987.651,224,251,27,237.5,1987-08-25,,>111,129.32,,,,0.091,0.483,0.0041,11.81,62.49,0.528,,
CR,1987,1987.727,251,280,29,265.5,1987-09-22,,<111,508.77,,,,0.025,0.217,0.0046,12.92,110.56,2.365,,
CR,1987,1987.727,251,280,29,265.5,1987-09-22,,>111,143.01,,,,0.079,0.45,0.0036,11.31,64.31,0.51,,
CR,1987,1987.805,280,308,28,294,1987-10-21,,<111,535.89,,,,0.039,0.264,0.0034,21.01,141.42,1.824,,
CR,1987,1987.805,280,308,28,294,1987-10-21,,>111,33.42,,,,0.07,0.417,0.0043,2.34,13.92,0.142,,
CR,1988,1988.361,117,147,30,132,1988-05-11,1,<111,116.58,,,,0.028,0.277,0.0018,3.23,32.24,0.21,,
CR,1988,1988.361,117,147,30,132,1988-05-11,1,>111,25.55,,,,0.05,0.397,0.0002,1.27,10.15,0.005,,
CR,1988,1988.361,117,147,30,132,1988-05-11,2,<111,126.85,,,,0.031,0.278,0.0022,3.96,35.21,0.273,,
CR,1988,1988.361,117,147,30,132,1988-05-11,2,>111,29.62,,,,0.064,0.453,0.0026,1.89,13.42,0.077,,
