lakeid,year4,sample_date,station,towdepth,species_code,species_name,density,individuals_measured,avg_length
FI,1997,1997-06-24,1,16,30000,CALANOID,3038160,225,0.66
FI,1997,1997-06-24,1,16,50901,CERIODAPHNIA LACUSTRIS,42480,60,0.46
FI,1997,1997-06-24,1,16,51000,CHYDORUS,42480,60,0.29
FI,1997,1997-06-24,1,16,10000,COPEPOD NAUPLII,14156400,225,0.21
FI,1997,1997-06-24,1,16,20000,CYCLOPOID,1389840,225,0.51
FI,1997,1997-06-24,1,16,51103,DAPHNIA MENDOTAE,3703200,1140,1.17
FI,1997,1997-06-24,1,16,51107,DAPHNIA RETROCURVA,53040,75,0.94
FI,1997,1997-06-24,1,16,20302,DIACYCLOPS THOMASI,32400,15,1.08
FI,1997,1997-06-24,1,16,51202,DIAPHANOSOMA BIRGEI,21120,45,0.63
FI,1997,1997-06-24,1,16,30400,DIAPTOMID,517200,225,1.17
FI,1997,1997-06-24,1,16,52301,LEPTODORA KINDTI,4320,225,4.9
FI,1997,1997-06-24,1,16,20601,MESOCYCLOPS EDAX,129360,60,1.37
FI,1997,1997-06-24,1,16,53601,SINOBOSMINA FRYEI,159120,225,0.3
FI,1997,1997-07-08,1,16,30000,CALANOID,707760,225,0.73
FI,1997,1997-07-08,1,16,50901,CERIODAPHNIA LACUSTRIS,232320,30,0.38
FI,1997,1997-07-08,1,16,51000,CHYDORUS,232320,150,0.22
FI,1997,1997-07-08,1,16,10000,COPEPOD NAUPLII,198000,45,0.17
FI,1997,1997-07-08,1,16,20000,CYCLOPOID,77520,225,0.42
FI,1997,1997-07-08,1,16,51100,DAPHNIA,9600,45,0.48
FI,1997,1997-07-08,1,16,51103,DAPHNIA MENDOTAE,646080,1125,1.03
FI,1997,1997-07-08,1,16,51130,DAPHNIA PULICARIA,273840,75,0.76
FI,1997,1997-07-08,1,16,51107,DAPHNIA RETROCURVA,15840,165,1.23
FI,1997,1997-07-08,1,16,20302,DIACYCLOPS THOMASI,416880,15,0.8
FI,1997,1997-07-08,1,16,51202,DIAPHANOSOMA BIRGEI,3120,225,0.62
FI,1997,1997-07-08,1,16,30400,DIAPTOMID,155040,225,1.03
FI,1997,1997-07-08,1,16,20601,MESOCYCLOPS EDAX,155040,165,1.12
FI,1997,1997-07-08,1,16,53601,SINOBOSMINA FRYEI,2065920,120,0.32
FI,1997,1997-07-08,1,16,20901,TROPOCYCLOPS PRASINUS MEXICANUS,87360,45,0.47
FI,1997,1997-08-05,1,16,20100,ACANTHOCYCLOPS,11040,15,0.68
FI,1997,1997-08-05,1,16,30901,AGLAODIAPTOMUS CLAVIPES,2640,30,1.62
FI,1997,1997-08-05,1,16,30000,CALANOID,16560,225,0.68
FI,1997,1997-08-05,1,16,50901,CERIODAPHNIA LACUSTRIS,5280,30,0.3
FI,1997,1997-08-05,1,16,51000,CHYDORUS,13200,90,0.25
FI,1997,1997-08-05,1,16,10000,COPEPOD NAUPLII,153600,225,0.17
FI,1997,1997-08-05,1,16,20000,CYCLOPOID,27600,225,0.57
FI,1997,1997-08-05,1,16,51100,DAPHNIA,15840,90,0.57
FI,1997,1997-08-05,1,16,51103,DAPHNIA MENDOTAE,225600,585,0.78
FI,1997,1997-08-05,1,16,51130,DAPHNIA PULICARIA,5280,30,0.74
FI,1997,1997-08-05,1,16,51107,DAPHNIA RETROCURVA,100800,585,1.14
FI,1997,1997-08-05,1,16,20302,DIACYCLOPS THOMASI,60720,30,0.84
FI,1997,1997-08-05,1,16,51202,DIAPHANOSOMA BIRGEI,305040,240,0.73
FI,1997,1997-08-05,1,16,30400,DIAPTOMID,49680,225,1.02
FI,1997,1997-08-05,1,16,52301,LEPTODORA KINDTI,480,30,7
FI,1997,1997-08-05,1,16,20601,MESOCYCLOPS EDAX,11040,225,1.14
FI,1997,1997-08-05,1,16,53601,SINOBOSMINA FRYEI,1870080,60,0.22
FI,1997,1997-08-05,1,16,20901,TROPOCYCLOPS PRASINUS MEXICANUS,16560,165,0.44
FI,1997,1997-08-19,1,16,20100,ACANTHOCYCLOPS,9600,15,0.76
FI,1997,1997-08-19,1,16,30000,CALANOID,281280,225,0.63
FI,1997,1997-08-19,1,16,50901,CERIODAPHNIA LACUSTRIS,12720,60,0.43
FI,1997,1997-08-19,1,16,51000,CHYDORUS,124080,225,0.22
FI,1997,1997-08-19,1,16,10000,COPEPOD NAUPLII,10782240,225,0.18
FI,1997,1997-08-19,1,16,20000,CYCLOPOID,1182960,225,0.49
FI,1997,1997-08-19,1,16,51100,DAPHNIA,6480,30,0.46
FI,1997,1997-08-19,1,16,51103,DAPHNIA MENDOTAE,655680,1050,0.8
FI,1997,1997-08-19,1,16,51130,DAPHNIA PULICARIA,9600,45,0.95
FI,1997,1997-08-19,1,16,51107,DAPHNIA RETROCURVA,366000,765,1.15
FI,1997,1997-08-19,1,16,20302,DIACYCLOPS THOMASI,58080,90,0.85
FI,1997,1997-08-19,1,16,51202,DIAPHANOSOMA BIRGEI,926400,225,0.87
FI,1997,1997-08-19,1,16,30400,DIAPTOMID,261840,225,1.09
FI,1997,1997-08-19,1,16,20601,MESOCYCLOPS EDAX,87360,135,1.11
FI,1997,1997-08-19,1,16,53601,SINOBOSMINA FRYEI,12720,60,0.3
FI,1997,1997-08-19,1,16,20901,TROPOCYCLOPS PRASINUS MEXICANUS,164880,225,0.45
FI,1997,1997-09-11,1,16,50300,ALONA,5280,30,0.48
FI,1997,1997-09-11,1,16,30000,CALANOID,0,225,0.73
FI,1997,1997-09-11,1,16,50901,CERIODAPHNIA LACUSTRIS,10560,60,0.35
FI,1997,1997-09-11,1,16,51000,CHYDORUS,68880,225,0.22
FI,1997,1997-09-11,1,16,10000,COPEPOD NAUPLII,40320,225,0.19
FI,1997,1997-09-11,1,16,20000,CYCLOPOID,32400,225,0.63
FI,1997,1997-09-11,1,16,51100,DAPHNIA,7920,45,0.59
FI,1997,1997-09-11,1,16,51103,DAPHNIA MENDOTAE,803760,1125,0.81
FI,1997,1997-09-11,1,16,51130,DAPHNIA PULICARIA,2640,15,0.84
FI,1997,1997-09-11,1,16,51107,DAPHNIA RETROCURVA,259920,735,1.13
FI,1997,1997-09-11,1,16,51202,DIAPHANOSOMA BIRGEI,259920,225,0.74
FI,1997,1997-09-11,1,16,30400,DIAPTOMID,113040,225,1.09
FI,1997,1997-09-11,1,16,52301,LEPTODORA KINDTI,960,75,6.8
FI,1997,1997-09-11,1,16,20601,MESOCYCLOPS EDAX,113040,135,1.14
FI,1997,1997-09-11,1,16,53601,SINOBOSMINA FRYEI,23760,45,0.25
FI,1997,1997-09-11,1,16,20901,TROPOCYCLOPS PRASINUS MEXICANUS,6787440,195,0.46
FI,1999,1999-02-25,1,16,20100,ACANTHOCYCLOPS,9600,15,0.72
FI,1999,1999-02-25,1,16,51000,CHYDORUS,19200,90,0.29
FI,1999,1999-02-25,1,16,10000,COPEPOD NAUPLII,5274720,225,0.18
FI,1999,1999-02-25,1,16,20000,CYCLOPOID,2191440,225,0.7
FI,1999,1999-02-25,1,16,51100,DAPHNIA,44640,210,0.58
FI,1999,1999-02-25,1,16,51103,DAPHNIA MENDOTAE,238560,765,1.07
FI,1999,1999-02-25,1,16,51130,DAPHNIA PULICARIA,15840,75,0.62
FI,1999,1999-02-25,1,16,20302,DIACYCLOPS THOMASI,329760,225,0.9
FI,1999,1999-02-25,1,16,30400,DIAPTOMID,87360,135,1.24
FI,1999,1999-02-25,1,16,53601,SINOBOSMINA FRYEI,343680,225,0.44
