lakeid,year4,sample_date,station,species_code,species_name,density,individuals_measured,avg_length
AL,1982,1982-02-23,1,50700,BOSMINIDAE,1.4,,
AL,1982,1982-02-23,1,10000,COPEPOD NAUPLII,24.4,,
AL,1982,1982-02-23,1,20000,CYCLOPOID,1.4,,
AL,1982,1982-02-23,1,20302,DIACYCLOPS THOMASI,1.4,,
AL,1982,1982-02-23,1,61502,GASTROPUS STYLIFER,1.4,,
AL,1982,1982-02-23,1,61702,KELLICOTTIA LONGISPINA,1.4,,
AL,1982,1982-02-23,1,61801,KERATELLA COCHLEARIS,2.9,,
AL,1982,1982-02-23,1,61804,KERATELLA EARLINAE,48.9,,
AL,1982,1982-02-23,1,61806,KERATELLA QUADRATA,23,,
AL,1982,1982-02-23,1,61900,LECANE,2.9,,
AL,1982,1982-02-23,1,30801,SKISTODIAPTOMUS OREGONENSIS,1.4,,
AL,1982,1982-02-23,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,8.6,,
AL,1982,1982-05-11,1,60900,CONOCHILUS,11.5,,
AL,1982,1982-05-11,1,10000,COPEPOD NAUPLII,40.3,,
AL,1982,1982-05-11,1,20000,CYCLOPOID,1.4,,
AL,1982,1982-05-11,1,20302,DIACYCLOPS THOMASI,8.6,,
AL,1982,1982-05-11,1,61402,FILINIA TERMINALIS,15.8,,
AL,1982,1982-05-11,1,61502,GASTROPUS STYLIFER,1.4,,
AL,1982,1982-05-11,1,61804,KERATELLA EARLINAE,17.3,,
AL,1982,1982-05-11,1,61806,KERATELLA QUADRATA,66.1,,
AL,1982,1982-05-11,1,20601,MESOCYCLOPS EDAX,1.4,,
AL,1982,1982-05-11,1,30801,SKISTODIAPTOMUS OREGONENSIS,2.8,,
AL,1982,1982-05-11,1,20901,TROPOCYCLOPS PRASINUS MEXICANUS,2.9,,
AL,1982,1982-06-09,1,20101,ACANTHOCYCLOPS VERNALIS,0.7,,
AL,1982,1982-06-09,1,60300,ASPLANCHNA,23.9,,
AL,1982,1982-06-09,1,50700,BOSMINIDAE,2.8,,
AL,1982,1982-06-09,1,50900,CERIODAPHNIA,0.7,,
AL,1982,1982-06-09,1,60900,CONOCHILUS,421.7,,
AL,1982,1982-06-09,1,10000,COPEPOD NAUPLII,26.7,,
AL,1982,1982-06-09,1,20000,CYCLOPOID,14.8,,
AL,1982,1982-06-09,1,51100,DAPHNIA,8.4,,
