lakeid,year4,sampledate,taxon,species_code,density,avg_length,comments
KE,1976,1976-01-21,CALANOIDA COPEPODITES,30000,14000,,
KE,1976,1976-01-21,CHYDORUS SPHAERICUS,51005,7000,,
KE,1976,1976-01-21,COPEPOD NAUPLII,10000,7000,,
KE,1976,1976-01-21,DAPHNIA MENDOTAE,51103,5000,1.55,
KE,1976,1976-01-21,DAPHNIA MENDOTAE JUVENILE,51103,2000,1.15,
KE,1976,1976-01-21,DAPHNIA PULICARIA,51130,3000,1.67,
KE,1976,1976-01-21,DAPHNIA PULICARIA JUVENILE,51130,34000,0.9,
KE,1976,1976-01-21,DIACYCLOPS THOMASI,20302,75000,,
KE,1976,1976-01-21,KERATELLA COCHLEARIS,61801,7000,,
KE,1976,1976-01-21,KERATELLA QUADRATA,61806,58000,,
KE,1976,1976-01-21,LEPTODIAPTOMUS SICILOIDES,30404,149000,,
KE,1976,1976-02-26,BOSMINA LONGIROSTRIS,50701,6000,,
KE,1976,1976-02-26,CHYDORUS SPHAERICUS,51005,6000,,
KE,1976,1976-02-26,COPEPOD NAUPLII,10000,960000,,
KE,1976,1976-02-26,DAPHNIA MENDOTAE,51103,9000,1.61,
KE,1976,1976-02-26,DAPHNIA MENDOTAE JUVENILE,51103,3000,0.87,
KE,1976,1976-02-26,DAPHNIA PULICARIA,51130,9000,1.61,
KE,1976,1976-02-26,DAPHNIA PULICARIA JUVENILE,51130,16000,0.93,
KE,1976,1976-02-26,DIACYCLOPS THOMASI,20302,251000,,
KE,1976,1976-02-26,KERATELLA COCHLEARIS,61801,12000,,
KE,1976,1976-02-26,KERATELLA QUADRATA,61806,171000,,
KE,1976,1976-02-26,LEPTODIAPTOMUS SICILOIDES,30404,49000,,
KE,1976,1976-03-31,ACANTHOCYCLOPS VERNALIS,20101,11000,,
KE,1976,1976-03-31,ASCOMORPHA OVALIS,60202,117000,,
KE,1976,1976-03-31,ASPLANCHNA,60300,85000,,
KE,1976,1976-03-31,CHYDORUS SPHAERICUS,51005,53000,,
KE,1976,1976-03-31,CONOCHILOIDES NATANS,60802,244000,,
KE,1976,1976-03-31,CONOCHILUS UNICORNIS,60902,85000,,
KE,1976,1976-03-31,COPEPOD NAUPLII,10000,977000,,
KE,1976,1976-03-31,DAPHNIA MENDOTAE,51103,8000,1.58,
KE,1976,1976-03-31,DAPHNIA MENDOTAE JUVENILE,51103,3000,1.18,
KE,1976,1976-03-31,DAPHNIA PULICARIA,51130,5000,1.77,
KE,1976,1976-03-31,DAPHNIA PULICARIA JUVENILE,51130,62000,0.87,
KE,1976,1976-03-31,DIACYCLOPS THOMASI,20302,520000,,
KE,1976,1976-03-31,KERATELLA COCHLEARIS,61801,85000,,
KE,1976,1976-03-31,KERATELLA QUADRATA,61806,722000,,
KE,1976,1976-03-31,LEPTODIAPTOMUS SICILOIDES,30404,96000,,
KE,1976,1976-03-31,NOTHOLCA,62600,90000,,
KE,1976,1976-03-31,SYNCHAETA,63400,122000,,
KE,1976,1976-05-20,ACANTHOCYCLOPS VERNALIS,20101,26000,1.28,
KE,1976,1976-05-20,AGLAODIAPTOMUS CLAVIPES,30901,5000,1.6,
KE,1976,1976-05-20,ASPLANCHNA,60300,935000,0.47,
KE,1976,1976-05-20,BOSMINA LONGIROSTRIS,50701,26000,0.4,
KE,1976,1976-05-20,CALANOIDA COPEPODITES,30000,211000,0.68,
KE,1976,1976-05-20,CHYDORUS SPHAERICUS,51005,62000,0.31,
KE,1976,1976-05-20,COPEPOD NAUPLII,10000,67000,0.28,
KE,1976,1976-05-20,DAPHNIA MENDOTAE,51103,11000,1.83,
KE,1976,1976-05-20,DAPHNIA MENDOTAE JUVENILE,51103,117000,0.9,
KE,1976,1976-05-20,DAPHNIA PULICARIA,51130,71000,1.83,
KE,1976,1976-05-20,DAPHNIA PULICARIA JUVENILE,51130,499000,0.96,
KE,1976,1976-05-20,DIACYCLOPS THOMASI,20302,164000,0.8,
KE,1976,1976-05-20,LEPTODIAPTOMUS SICILOIDES,30404,36000,1,
KE,1976,1976-05-20,SKISTODIAPTOMUS OREGONENSIS,30801,10000,1.2,
