lakeid,year4,sampledate,towdepth
"ME",1976,1976-02-25,19.6
"ME",1976,1976-04-02,23.6
"ME",1976,1976-04-15,23.9
"ME",1976,1976-05-21,22.7
"ME",1976,1976-05-31,23.4
"ME",1976,1976-06-10,22.4
"ME",1976,1976-07-07,22.7
"ME",1976,1976-07-21,23.3
"ME",1976,1976-08-03,23.0
"ME",1976,1976-08-17,22.4
"ME",1976,1976-09-03,19.6
"ME",1976,1976-09-24,22.7
"ME",1976,1976-10-08,22.7
"ME",1976,1976-11-18,23.9
"ME",1976,1976-12-22,22.4
"ME",1977,1977-02-03,23.3
"ME",1977,1977-03-07,23.0
"ME",1977,1977-04-08,23.9
"ME",1977,1977-05-16,23.9
"ME",1977,1977-06-14,23.3
"ME",1977,1977-07-28,23.6
"ME",1977,1977-09-01,23.6
"ME",1977,1977-10-13,23.6
"ME",1978,1978-01-20,22.7
"ME",1978,1978-03-15,23.1
"ME",1978,1978-04-17,23.9
"ME",1978,1978-06-15,23.3
"ME",1978,1978-07-14,23.3
"ME",1978,1978-08-09,23.9
"ME",1978,1978-10-18,23.9
"ME",1978,1978-11-09,23.6
"ME",1978,1978-12-01,23.3
"ME",1979,1979-02-01,22.1
"ME",1979,1979-03-16,23.3
"ME",1979,1979-04-26,24.2
"ME",1979,1979-05-01,21.4
"ME",1979,1979-05-24,22.4
"ME",1979,1979-06-13,22.4
"ME",1979,1979-06-27,23.6
"ME",1979,1979-07-09,23.3
"ME",1979,1979-07-24,23.0
"ME",1979,1979-08-16,21.4
"ME",1979,1979-08-28,22.4
"ME",1979,1979-09-18,19.8
"ME",1979,1979-10-17,23.3
"ME",1979,1979-11-14,23.0
"ME",1979,1979-12-04,23.6
"ME",1980,1980-01-10,21.7
"ME",1980,1980-04-13,26.0
"ME",1980,1980-04-30,22.0
"ME",1980,1980-05-21,23.0
"ME",1980,1980-06-03,21.0
"ME",1980,1980-06-17,22.5
"ME",1980,1980-06-30,24.0
"ME",1980,1980-07-14,22.5
"ME",1980,1980-07-29,21.5
"ME",1980,1980-08-11,21.5
"ME",1980,1980-08-25,23.0
"ME",1980,1980-09-08,23.5
"ME",1980,1980-09-25,22.5
"ME",1980,1980-10-15,21.5
"ME",1980,1980-10-28,22.0
"ME",1980,1980-11-11,21.5
"ME",1980,1980-11-25,21.5
"ME",1981,1981-01-28,23.0
"ME",1981,1981-03-10,22.5
"ME",1981,1981-03-31,19.5
"ME",1981,1981-04-15,23.0
"ME",1981,1981-05-04,21.5
"ME",1981,1981-05-19,22.5
"ME",1981,1981-06-02,22.5
"ME",1981,1981-06-17,23.0
"ME",1981,1981-06-30,23.0
"ME",1981,1981-07-15,24.0
