year4	daynum	wind
1884	1	7.59
1884	2	10.83
1884	3	7.96
1884	4	5.73
1884	5	4.65
1884	6	3.06
1884	7	1.24
1884	8	0.86
1884	9	1.33
1884	10	2.76
1884	11	4.66
1884	12	5.73
1884	13	6.21
1884	14	5.99
1884	15	2.06
1884	16	3.75
1884	17	9.47
1884	18	7.22
1884	19	11.11
1884	20	3.19
1884	21	4.01
1884	22	6.27
1884	23	6.9
1884	24	4.98
1884	25	6.1
1884	26	2.8
1884	27	5.11
1884	28	4.74
1884	29	4.59
1884	30	5.93
1884	31	5.6
1884	1	4.18
1884	2	4.27
1884	3	4.2
1884	4	7.46
1884	5	4.33
1884	6	3.16
1884	7	4.96
1884	8	2.39
1884	9	3.9
1884	10	1.42
1884	11	5.58
1884	12	8.91
1884	13	5.09
1884	14	4.68
1884	15	3.84
1884	16	9.23
1884	17	3.19
1884	18	3.14
1884	19	8.02
1884	20	6.82
1884	21	2.95
1884	22	7.49
1884	23	5.11
1884	24	4.18
1884	25	6.17
1884	26	5.02
1884	27	4.07
1884	28	6.77
1884	29	4.7
1884	1	6.81
1884	2	3.81
1884	3	6.04
1884	4	3.51
1884	5	2.13
1884	6	2.37
1884	7	2.86
1884	8	7.31
1884	9	1.89
1884	10	5.61
1884	11	11.82
1884	12	12.3
1884	13	4.83
1884	14	2.75
1884	15	2.47
1884	16	4.91
1884	17	3.21
1884	18	3.19
1884	19	4.2
1884	20	3.12
1884	21	2.21
1884	22	2.63
1884	23	5.61
1884	24	3.57
1884	25	3.49
1884	26	7.83
1884	27	3.32
1884	28	6.81
1884	29	6.73
1884	30	3.06
1884	31	5.15
1884	1	3.74
1884	2	11.43
1884	3	4.73
1884	4	3.96
1884	5	1.58
1884	6	2.81
1884	7	2.9
1884	8	3.12
1884	9	2.23
1884	10	2.12
1884	11	1.54
1884	12	1.93
1884	13	2.99
1884	14	5.02
1884	15	4.69
1884	16	7.39
1884	17	2.83
1884	18	4.47
1884	19	2.88
1884	20	12.33
1884	21	11.51
1884	22	8.67
1884	23	5.43
1884	24	3.12
1884	25	0.83
1884	26	6.25
1884	27	13.61
1884	28	5.58
1884	29	5.06
1884	30	6.4
1884	1	4.42
1884	2	5.24
1884	3	4.96
1884	4	3.77
1884	5	2.41
1884	6	3.36
1884	7	4.81
1884	8	2.59
1884	9	5.76
1884	10	4.12
1884	11	3.19
1884	12	3.12
1884	13	5
1884	14	5.98
1884	15	5.72
1884	16	4.31
1884	17	7.1
1884	18	4.1
1884	19	4.72
1884	20	4.21
1884	21	5.22
1884	22	6.17
1884	23	7.73
1884	24	5.03
1884	25	2.26
1884	26	2.74
1884	27	4.74
1884	28	5.97
1884	29	2.07
1884	30	3.67
1884	31	5.02
1884	1	5.2
1884	2	2.91
1884	3	2.95
1884	4	2.58
1884	5	3.84
1884	6	3.25
1884	7	2.37
1884	8	3.86
1884	9	7.98
1884	10	8
1884	11	1.53
1884	12	1.76
1884	13	3.12
1884	14	3.79
1884	15	3.08
1884	16	3.45
1884	17	4.49
1884	18	3.4
1884	19	0.86
1884	20	2.65
1884	21	2.17
1884	22	2.91
1884	23	3.4
1884	24	3.66
1884	25	6.23
1884	26	4.34
1884	27	2.35
1884	28	2.04
1884	29	2.04
1884	30	2.26
1884	1	3.34
1884	2	2.09
1884	3	2.31
1884	4	4.48
1884	5	5.31
1884	6	5.89
1884	7	5.91
1884	8	4.66
1884	9	5.43
1884	10	2.45
1884	11	3.32
1884	12	3.26
1884	13	4.51
1884	14	3
1884	15	1.36
1884	16	2.65
1884	17	2.61
1884	18	4.1
1884	19	3.3
1884	20	2.18
1884	21	3.45
1884	22	4.23
1884	23	9.63
1884	24	2.35
1884	25	3.54
1884	26	2.71
1884	27	2
1884	28	1.16
1884	29	1.12
1884	30	2.35
1884	31	3.19
1884	1	1.92
1884	2	4.42
1884	3	5.5
1884	4	8.14
1884	5	3.49
1884	6	5.29
1884	7	3.28
1884	8	1.98
1884	9	1.51
1884	10	3.21
1884	11	5.89
1884	12	3.45
1884	13	1.59
1884	14	1.09
1884	15	1.79
1884	16	3.21
1884	17	4.7
1884	18	6.41
1884	19	5.87
1884	20	7.12
1884	21	4.81
1884	22	2.84
1884	23	5.26
1884	24	2.24
1884	25	7.21
1884	26	3.53
1884	27	3.23
1884	28	3.34
1884	29	3.3
1884	30	5.22
1884	31	2.26
1884	1	5
1884	2	7.85
1884	3	8.22
1884	4	4.27
1884	5	4.18
1884	6	5.74
1884	7	3.47
1884	8	3.19
1884	9	5.15
1884	10	5.87
1884	11	6.28
1884	12	1.66
1884	13	3.12
