










Data Set Title: North Temperate Lakes LTER: Chlorophyll - Trout Lake Area

Investigator(s): NTL LTER Lead PI, North Temperate Lakes LTER

Contact(s): NTL LTER Lead PI; Center for Limnology, 680 N Park St, Madison, WI, 53706-1492, USA;(phone) 608-263-2567;(fax) 608-265-2340;(email) ehstanley@wisc.edu;
NTL LTER Information Manager; Center for Limnology, 680 N Park St, Madison, WI, 53706-1492, USA;(phone) 608-890-3446;(fax) 608-265-2340;(email) infomgr@lter.limnology.wisc.edu;

Abstract: Chlorophyll and phaeopigments are measured at our permanent sampling station in the deepest part of each lake. Chlorophyll samples are collected from the seven primary study lakes (Allequash, Big Muskellunge, Crystal, Sparkling, and Trout lakes and bog lakes 27-02 [Crystal Bog], and 12-15 [Trout Bog]) in the Trout Lake area at two to 10 depths depending on the lake and analyzed spectrophotometrically. 

Sampling Frequency: fortnightly during ice-free season - every 6 weeks during ice-covered season

Number of sites: 7

Initiation of study (mm/dd/yy): 06/30/1981


Data Table: North Temperate Lakes LTER: Chlorophyll - Trout Lake Area

Variables: 

LAKEID = lake name abbreviation
YEAR4 = year
DAYNUM = day of year
SAMPLEDATE = sample date
REP = replicate number
STA = station number
DEPTH = depth (meter)
CHLOR = chlorophyll a concentration (microgramPerLiter)
PHAEO = phaeophyton  concentration (microgramPerLiter)
FLAGCHLOR = data flag for chlor
FLAGPHAEO = data flag for phaeo


Variable Codes: 



LAKEID

AL = Allequash Lake
BM = Big Muskellunge Lake
CB = Bog 27-2  (Crystal Bog)
CR = Crystal Lake
SP = Sparkling Lake
TB = Bog 12-15  (Trout Bog)
TR = Trout Lake





Flags: 

A = Sample suspect
B = Standard curve/reduction suspect
C = No sample taken
D = Sample lost
E = Average of duplicate analyses
F = Duplicate analyses in error
G = Analysed late
H = Outside of standard range
I = Outside of data entry constraints 
J = Non standard routine followed
K = Data suspect
L = Data point and blind value differ by more than 15% 
M = More than two flags (See original data sheets)
N = Sample retested 
O = Value suspect but total pigment(CHL + PHAEO) value accurate 
P = TPM uncorrected for humidity change between filter weighing
Q = Quality control comments on SLOH lab sheet
R = Value between LOD (Limit of Detection)  and LOQ (Limit of Quantification)
S = Value below detection limit; set to zero
T = Sample contaminated; data not reported
U = Equipment malfunction produced bad value; value set to missing;
V = Frlight could not be computed; set to missing
W = negative light value; set to zero




From the North Temperate Lakes LTER database at: Tue Apr 26 13:16:32 CDT 2011
Dataset Results:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAKEID,YEAR4,DAYNUM,SAMPLEDATE,REP,STA,DEPTH,CHLOR,PHAEO
AL,1991,155,06/04/1991,1,1,7,14.5,-2.5
AL,1984,157,06/05/1984,1,1,0,7.1,.2
AL,1984,157,06/05/1984,1,1,5,10.3,-.1
AL,1984,157,06/05/1984,1,1,6,18.4,-1.1
AL,1984,157,06/05/1984,1,1,7,30,-2.3
AL,1983,159,06/08/1983,1,1,2,5.9,1
AL,1983,159,06/08/1983,1,1,4,12.1,-2
AL,1983,159,06/08/1983,1,1,6,2.4,1.4
AL,1983,159,06/08/1983,1,1,7,0,8.5
AL,1988,159,06/07/1988,1,1,2,1.3,.1
AL,1988,159,06/07/1988,1,1,4,2.3,.4
AL,1988,159,06/07/1988,1,1,6,2.5,.7
AL,1988,159,06/07/1988,1,1,7,2.7,.9
AL,1982,160,06/09/1982,1,1,2,3.9,
AL,1982,160,06/09/1982,1,1,4,6.9,
AL,1982,160,06/09/1982,1,1,6,24.5,
AL,1985,162,06/11/1985,1,1,0,12.9,-4.3
AL,1985,162,06/11/1985,1,1,1,9.9,-.8
AL,1985,162,06/11/1985,1,1,2,12.4,-1.7
AL,1985,162,06/11/1985,1,1,4,8.2,-.2
AL,1985,162,06/11/1985,1,1,7,39.1,10.7
AL,1987,162,06/11/1987,1,1,0,3,.1
AL,1987,162,06/11/1987,1,1,2,2.1,.3
AL,1987,162,06/11/1987,1,1,6,13.5,2.3
AL,1989,164,06/13/1989,1,1,0,5,.2
AL,1989,164,06/13/1989,1,1,2,4.9,1.3
AL,1989,164,06/13/1989,1,1,4,3.7,1.1
AL,1989,164,06/13/1989,1,1,6,2.9,1
AL,1990,164,06/13/1990,1,1,0,2.3,1.4
AL,1990,164,06/13/1990,1,1,2,3.5,.7
AL,1990,164,06/13/1990,1,1,4,2.5,1.1
AL,1990,164,06/13/1990,1,1,6,.8,.7
AL,1990,164,06/13/1990,1,1,7,.3,.9
AL,1986,169,06/18/1986,1,1,2,2.3,.5
AL,1986,169,06/18/1986,1,1,4,4.6,.8
AL,1986,169,06/18/1986,1,1,7,24,26.8
AL,1991,169,06/18/1991,1,1,0,0,3.5
BM,1989,17,01/17/1989,1,1,3,.4,.1
BM,1989,17,01/17/1989,1,1,8,.3,.2
BM,1989,17,01/17/1989,1,1,10,.2,.2
BM,1989,17,01/17/1989,1,1,12,.2,.1
BM,1989,17,01/17/1989,1,1,16,.2,.4
BM,1989,17,01/17/1989,1,1,19,.5,.5
BM,1990,23,01/23/1990,1,1,0,10.2,1
BM,1990,23,01/23/1990,1,1,3,.3,.3
BM,1990,23,01/23/1990,1,1,5,.1,.3
BM,1990,23,01/23/1990,1,1,12,.3,.2
