LAKEID,YEAR4,DAYNUM,SAMPLEDATE,EXTCOEF,LIGHTEXT_FLAG,COMMENTS
TB,1990,150,05/30/1990,2.15,,
TB,1992,223,08/10/1992,3.352,,
TB,1982,334,11/30/1982,,V,extcoef: No light data
TR,1985,8,01/08/1985,.757,,
TR,1984,9,01/09/1984,,V,extcoef: No light data
TR,1983,10,01/10/1983,,V,extcoef: No light data
TR,1987,13,01/13/1987,.446,,
TR,1992,14,01/14/1992,.466,,
TR,1991,15,01/15/1991,.521,,
TR,1989,16,01/16/1989,,V,extcoef: Insufficient light data
TR,1990,16,01/16/1990,.337,,
TR,1988,18,01/18/1988,.455,,
TR,1982,19,01/19/1982,,V,extcoef: No light data
TR,1983,47,02/16/1983,,V,extcoef: No light data
TR,1991,51,02/20/1991,.477,,
TR,1989,52,02/21/1989,.332,,
TR,1990,52,02/21/1990,,V,extcoef: Insufficient light data
TR,1985,56,02/25/1985,.363,,
TR,1982,61,03/02/1982,,V,extcoef: No light data
TR,1986,63,03/04/1986,.274,,
TR,1988,63,03/03/1988,.48,,
TR,1992,64,03/04/1992,.289,,
TR,1992,85,03/25/1992,.305,,
TR,1989,87,03/28/1989,.136,,
TR,1990,89,03/30/1990,,V,extcoef: No light data
TR,1986,93,04/03/1986,.315,,
TR,1982,96,04/06/1982,,V,extcoef: No light data
TR,1988,98,04/07/1988,.385,,
TR,1984,102,04/11/1984,,V,extcoef: No light data
TR,1989,123,05/03/1989,.498,,
TR,1984,128,05/07/1984,.406,,
TR,1983,129,05/09/1983,.478,,
TR,1988,131,05/10/1988,.364,,
TR,1982,133,05/13/1982,.484,,
TR,1985,133,05/13/1985,.452,,
TR,1986,141,05/21/1986,.382,,
TR,1983,144,05/24/1983,.393,,
TR,1988,144,05/23/1988,.417,,
TR,1982,146,05/26/1982,,V,extcoef: Insufficient light data
TR,1985,148,05/28/1985,.415,,
TR,1990,149,05/29/1990,.334,,
TR,1982,159,06/08/1982,.29,,
TR,1982,173,06/22/1982,.319,,
TR,1988,173,06/21/1988,.337,,
TR,1985,177,06/26/1985,.351,,
TR,1982,188,07/07/1982,.412,,
TR,1987,196,07/15/1987,.383,,
TR,1983,199,07/18/1983,.376,,
TR,1982,200,07/19/1982,,V,extcoef: No light data
TR,1982,215,08/03/1982,.195,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
TR,1988,228,08/15/1988,.404,,
TR,1985,232,08/20/1985,.348,,
TR,1984,248,09/04/1984,.402,,
TR,1982,253,09/10/1982,.311,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
TR,1987,265,09/22/1987,.434,,
TR,1983,270,09/27/1983,.344,,
TR,1987,281,10/08/1987,.43,,
TR,1983,291,10/18/1983,.398,,
TR,1987,292,10/19/1987,.545,,
TR,1984,311,11/06/1984,.687,,
TR,1982,312,11/08/1982,.473,,
AL,1984,6,01/06/1984,,V,extcoef: No light data
AL,1985,7,01/07/1985,1.941,J,extcoef: Water level assumed = 0
