lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"AL","1","1981","","","","","334","1981-11-30 00:00:00","343","1981-12-09 00:00:00"
"AL","1","1982","","","121","1982-05-01 00:00:00","319","1982-11-15 00:00:00","326","1982-11-22 00:00:00"
"AL","1","1983","116","1983-04-26 00:00:00","117","1983-04-27 00:00:00","322","1983-11-18 00:00:00","332","1983-11-28 00:00:00"
"AL","1","1984","110","1984-04-19 00:00:00","112","1984-04-21 00:00:00","313","1984-11-08 00:00:00","314","1984-11-09 00:00:00"
"AL","1","1985","109","1985-04-19 00:00:00","111","1985-04-21 00:00:00","315","1985-11-11 00:00:00","329","1985-11-25 00:00:00"
"AL","1","1986","101","1986-04-11 00:00:00","102","1986-04-12 00:00:00","315","1986-11-11 00:00:00","318","1986-11-14 00:00:00"
"AL","1","1987","99","1987-04-09 00:00:00","100","1987-04-10 00:00:00","320","1987-11-16 00:00:00","327","1987-11-23 00:00:00"
"AL","1","1988","102","1988-04-11 00:00:00","103","1988-04-12 00:00:00","333","1988-11-28 00:00:00","335","1988-11-30 00:00:00"
"AL","1","1989","114","1989-04-24 00:00:00","116","1989-04-26 00:00:00","324","1989-11-20 00:00:00","326","1989-11-22 00:00:00"
"AL","1","1990","106","1990-04-16 00:00:00","107","1990-04-17 00:00:00","334","1990-11-30 00:00:00","337","1990-12-03 00:00:00"
"AL","1","1991","107","1991-04-17 00:00:00","108","1991-04-18 00:00:00","310","1991-11-06 00:00:00","312","1991-11-08 00:00:00"
"AL","1","1992","118","1992-04-27 00:00:00","119","1992-04-28 00:00:00","318","1992-11-13 00:00:00","321","1992-11-16 00:00:00"
"AL","1","1993","120","1993-04-30 00:00:00","122","1993-05-02 00:00:00","328","1993-11-24 00:00:00","333","1993-11-29 00:00:00"
"AL","1","1994","108","1994-04-18 00:00:00","110","1994-04-20 00:00:00","327","1994-11-23 00:00:00","330","1994-11-26 00:00:00"
"AL","1","1995","112","1995-04-22 00:00:00","115","1995-04-25 00:00:00","311","1995-11-07 00:00:00","313","1995-11-09 00:00:00"
"AL","1","1996","129","1996-05-08 00:00:00","130","1996-05-09 00:00:00","318","1996-11-13 00:00:00","319","1996-11-14 00:00:00"
"AL","1","1997","116","1997-04-26 00:00:00","118","1997-04-28 00:00:00","318","1997-11-14 00:00:00","321","1997-11-17 00:00:00"
"AL","1","1998","98","1998-04-08 00:00:00","99","1998-04-09 00:00:00","344","1998-12-10 00:00:00","345","1998-12-11 00:00:00"
"AL","1","1999","102","1999-04-12 00:00:00","104","1999-04-14 00:00:00","334","1999-11-30 00:00:00","335","1999-12-01 00:00:00"
"AL","1","2000","84","2000-03-24 00:00:00","86","2000-03-26 00:00:00","322","2000-11-17 00:00:00","325","2000-11-20 00:00:00"
"AL","1","2001","110","2001-04-20 00:00:00","113","2001-04-23 00:00:00","343","2001-12-09 00:00:00","345","2001-12-11 00:00:00"
